Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-302408.6085516134,-290102.0719191167
0.01,0.19,0.39,0.41,-302343.6398548661,-290100.4177573875
0.01,0.19,0.4,0.4,-302335.5501796665,-290176.8345568955
0.01,0.2,0.38,0.41,-302259.9828330445,-290074.9954457652
0.01,0.2,0.39,0.4,-302255.1619140707,-290157.33567549067
0.01,0.2,0.4,0.39,-302236.6058240107,-290224.267856408
0.01,0.21,0.37,0.41,-302158.21670155134,-290026.35791461065
0.01,0.21,0.38,0.4,-302156.83415860735,-290114.7852744564
0.01,0.21,0.39,0.39,-302141.5582266923,-290187.57020772825
0.01,0.21,0.4,0.38,-302112.38544407935,-290244.6790610112
0.01,0.22,0.36,0.41,-302038.8417217023,-289954.97914225643
0.01,0.22,0.37,0.4,-302041.0757893993,-290049.667390275
0.01,0.22,0.38,0.39,-302029.24823797325,-290128.4686742456
0.01,0.22,0.39,0.38,-302003.3670165645,-290191.35970368725
0.01,0.22,0.4,0.37,-301963.42079663527,-290238.2972136678
0.01,0.23,0.35,0.41,-301902.28778058395,-289861.2627329709
0.01,0.23,0.36,0.4,-301908.3261432989,-289962.3965202688
0.01,0.23,0.37,0.39,-301900.12380951305,-290047.3878113783
0.01,0.23,0.38,0.38,-301877.7009741924,-290116.2245137103
0.01,0.23,0.39,0.37,-301841.0577196666,-290168.87372526655
0.01,0.23,0.4,0.36,-301790.1740991708,-290205.28181818145
0.01,0.24,0.34,0.41,-301748.9212352219,-289745.54876095685
0.01,0.24,0.35,0.4,-301758.961957541,-289853.32456213864
0.01,0.24,0.36,0.39,-301754.57112831227,-289944.6904098807
0.01,0.24,0.37,0.38,-301735.782118771,-290019.64633992995
0.01,0.24,0.38,0.37,-301702.60725707264,-290078.1706481802
0.01,0.24,0.39,0.36,-301655.03800731944,-290120.2200696995
0.01,0.24,0.4,0.35,-301593.0449695609,-290145.7297787297
0.01,0.25,0.33,0.41,-301579.0503493837,-289608.11920715054
0.01,0.25,0.34,0.4,-301593.3029160851,-289722.7463602981
0.01,0.25,0.35,0.39,-301592.9202585398,-289820.6831376623
0.01,0.25,0.36,0.38,-301577.9499642348,-289901.94274330843
0.01,0.25,0.37,0.37,-301548.41753759497,-289966.5156014661
0.01,0.25,0.38,0.36,-301504.3266885484,-290014.3696450958
0.01,0.25,0.39,0.35,-301445.6594280117,-290045.4504113732
0.01,0.25,0.4,0.34,-301372.3759724051,-290059.68094620487
0.01,0.26,0.32,0.41,-301392.92956643493,-289449.2022321614
0.01,0.26,0.33,0.4,-301411.61604862096,-289570.9041049703
0.01,0.26,0.34,0.39,-301415.44965007715,-289675.621048428
0.01,0.26,0.35,0.38,-301404.4933406748,-289763.3806010501
0.01,0.26,0.36,0.37,-301378.7868410905,-289834.1863553846
0.01,0.26,0.37,0.36,-301338.34703752166,-289888.01837272785
0.01,0.26,0.38,0.35,-301283.16818671074,-289924.8333881478
0.01,0.26,0.39,0.34,-301213.22191594506,-289944.56481048476
0.01,0.26,0.4,0.33,-301128.45701803284,-289947.12251732685
0.01,0.27,0.31,0.41,-301190.7627984273,-289268.9754652806
0.01,0.27,0.32,0.4,-301214.1191655347,-289397.990767063
0.01,0.27,0.33,0.39,-301222.3896996346,-289509.71114269254
0.01,0.27,0.34,0.38,-301215.654064993,-289604.1797771456
0.01,0.27,0.35,0.37,-301193.96736467053,-289681.4145974206
0.01,0.27,0.36,0.36,-301157.3607011164,-289741.4088331318
0.01,0.27,0.37,0.35,-301105.84150734247,-289784.1313476832
0.01,0.27,0.38,0.34,-301039.3936564618,-289809.5267478073
0.01,0.27,0.39,0.33,-300957.9773521497,-289817.5152740261
0.01,0.27,0.4,0.32,-300861.52879747056,-289807.99246947764
0.01,0.28,0.3,0.41,-300972.70586326596,-289067.5684417269
0.01,0.28,0.31,0.4,-301000.98346450634,-289204.1527048486
0.01,0.28,0.32,0.39,-301013.92550322675,-289323.11512034317
0.01,0.28,0.33,0.38,-301011.6298195281,-289424.5160010878
0.01,0.28,0.34,0.37,-300994.1682108655,-289508.38892054127
0.01,0.28,0.35,0.36,-300961.5871620725,-289574.74144276814
0.01,0.28,0.36,0.35,-300913.9083224124,-289623.55559949024
0.01,0.28,0.37,0.34,-300851.12874126795,-289654.7881257761
0.01,0.28,0.38,0.33,-300773.22086814,-289668.37046003976
0.01,0.28,0.39,0.32,-300680.13231696025,-289664.2085083532
0.01,0.28,0.4,0.31,-300571.7853890382,-289642.1821673941
0.01,0.29,0.29,0.41,-300738.868163734,-288845.0642816868
0.01,0.29,0.3,0.4,-300772.3354072324,-288989.49154069764
0.01,0.29,0.31,0.39,-300790.19890232506,-289115.95142679894
0.01,0.29,0.32,0.38,-300792.5763440861,-289224.5230599059
0.01,0.29,0.33,0.37,-300779.55770580564,-289315.2571413777
0.01,0.29,0.34,0.36,-300751.2061667117,-289388.17688173894
0.01,0.29,0.35,0.35,-300707.55875845195,-289443.2786471615
0.01,0.29,0.36,0.34,-300648.6267466605,-289480.53234103124
0.01,0.29,0.37,0.33,-300574.39575710805,-289499.88153009827
0.01,0.29,0.38,0.32,-300484.82564955164,-289501.2433183265
0.01,0.29,0.39,0.31,-300379.8501361682,-289484.5079653274
0.01,0.29,0.4,0.3,-300259.37613507226,-289449.5382398776
0.01,0.3,0.28,0.41,-300489.3136710077,-288601.50067385874
0.01,0.3,0.29,0.4,-300528.2579347609,-288754.06537644094
0.01,0.3,0.3,0.39,-300551.3098968908,-288888.2966660684
0.01,0.3,0.31,0.38,-300558.6090184033,-289004.2943806513
0.01,0.3,0.32,0.37,-300550.2651275617,-289102.1280285864
0.01,0.3,0.33,0.36,-300526.3595794291,-289181.8379482978
0.01,0.3,0.34,0.35,-300486.9461000477,-289243.4361524169
0.01,0.3,0.35,0.34,-300432.0513374357,-289286.90687877935
0.01,0.3,0.36,0.33,-300361.67513361544,-289312.20686245244
0.01,0.3,0.37,0.32,-300275.79052461364,-289319.26533573563
0.01,0.3,0.38,0.31,-300174.34346843284,-289307.9837561322
0.01,0.3,0.39,0.3,-300057.25229405466,-289278.2352553524
0.01,0.3,0.4,0.29,-299924.4068572607,-289229.8637951342
0.01,0.31,0.27,0.41,-300224.0612485909,-288336.87019942276
0.01,0.31,0.28,0.4,-300268.7910646918,-288497.889390602
0.01,0.31,0.29,0.39,-300297.3174743956,-288640.18642979884
0.01,0.31,0.3,0.38,-300309.8038888646,-288763.8840571415
0.01,0.31,0.31,0.37,-300306.3819022937,-288869.0724990206
0.01,0.31,0.32,0.36,-300287.1527247191,-288955.81090089685
0.01,0.31,0.33,0.35,-300252.1882580182,-289024.1284033006
0.01,0.31,0.34,0.34,-300201.5318446038,-289074.0248905262
0.01,0.31,0.35,0.33,-300135.1987088822,-289105.4714320898
0.01,0.31,0.36,0.32,-300053.17610313185,-289118.410428608
0.01,0.31,0.37,0.31,-299955.4231616248,-289112.7554659191
0.01,0.31,0.38,0.3,-299841.8704591685,-289088.39087362494
0.01,0.31,0.39,0.29,-299712.4192624115,-289045.17097639706
0.01,0.31,0.4,0.28,-299566.9404538436,-288982.9190179758
0.01,0.32,0.26,0.41,-299943.0843283801,-288051.1200081437
0.01,0.32,0.27,0.4,-299993.931891177,-288220.9358384307
0.01,0.32,0.28,0.39,-300028.2398830878,-288371.6155705735
0.01,0.32,0.29,0.38,-300046.1981735899,-288503.3073550743
