Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-16306.954099835919,-23979.691366272356
0.01,0.19,0.39,0.41,-16250.754221968595,-23898.56621863539
0.01,0.19,0.4,0.4,-16198.693640843892,-23793.051948377288
0.01,0.2,0.38,0.41,-16186.797211400508,-23812.929381551658
0.01,0.2,0.39,0.4,-16137.999159642315,-23708.51538056189
0.01,0.2,0.4,0.39,-16084.66878525026,-23601.020301058594
0.01,0.21,0.37,0.41,-16115.222266937582,-23722.891738524464
0.01,0.21,0.38,0.4,-16069.761622246622,-23619.647928887018
0.01,0.21,0.39,0.39,-16019.729186935476,-23513.307513936485
0.01,0.21,0.4,0.38,-15965.248272006509,-23403.973466284035
0.01,0.22,0.36,0.41,-16036.154232097226,-23628.55170180695
0.01,0.22,0.37,0.4,-15994.106293260993,-23526.549919302903
0.01,0.22,0.38,0.39,-15947.44527727148,-23421.43403886329
0.01,0.22,0.39,0.38,-15896.297712277821,-23313.309202324053
0.01,0.22,0.4,0.37,-15840.786621396823,-23202.27634972078
0.01,0.23,0.35,0.41,-15949.705155082454,-23529.995038911235
0.01,0.23,0.36,0.4,-15911.145793785836,-23429.309135786105
0.01,0.23,0.37,0.39,-15867.930098445448,-23325.489524327386
0.01,0.23,0.38,0.38,-15820.187966167821,-23218.643667398654
0.01,0.23,0.39,0.37,-15768.045637216537,-23108.874674247967
0.01,0.23,0.4,0.36,-15711.62571020161,-22996.281315695098
0.01,0.24,0.34,0.41,-15855.975533176103,-23427.29596245044
0.01,0.24,0.35,0.4,-15820.981363172976,-23328.00197633936
0.01,0.24,0.36,0.39,-15781.285462706604,-23225.552384333656
0.01,0.24,0.37,0.38,-15737.021267012507,-23120.057139483626
0.01,0.24,0.38,0.37,-15688.31838531165,-23011.621672028148
0.01,0.24,0.39,0.36,-15635.302633360836,-22900.34692193858
0.01,0.24,0.4,0.35,-15578.096033452695,-22786.329338907188
0.01,0.25,0.33,0.41,-15755.055301250426,-23320.51811491062
0.01,0.25,0.34,0.4,-15723.703867451368,-23222.694455390385
0.01,0.25,0.35,0.39,-15687.602978152887,-23121.690816856913
0.01,0.25,0.36,0.38,-15646.889795807207,-23017.619831619493
0.01,0.25,0.37,0.37,-15601.697467764276,-22910.589420142198
0.01,0.25,0.38,0.36,-15552.155178738294,-22800.702843512758
0.01,0.25,0.39,0.35,-15498.388168168662,-22688.058720808942
0.01,0.25,0.4,0.34,-15440.517712859033,-22572.75101174636
0.01,0.26,0.32,0.41,-15647.024608650125,-23209.715421753364
0.01,0.26,0.33,0.4,-15619.394599146435,-23113.443086098792
0.01,0.26,0.34,0.39,-15586.964868466428,-23013.963710962707
0.01,0.26,0.35,0.38,-15549.876518303034,-22911.392819872086
0.01,0.26,0.36,0.37,-15508.266423222922,-22805.841012533663
0.01,0.26,0.37,0.36,-15462.267306069263,-22697.414040235326
0.01,0.26,0.38,0.35,-15412.007775238868,-22586.21284312722
0.01,0.26,0.39,0.34,-15357.612324682146,-22472.33355023127
0.01,0.26,0.4,0.33,-15299.201296626044,-22355.867442179762
0.01,0.27,0.31,0.41,-15531.954417208226,-23094.93261693447
0.01,0.27,0.32,0.4,-15508.12590181931,-23000.295421783645
0.01,0.27,0.33,0.39,-15479.44462038907,-22902.421201720255
0.01,0.27,0.34,0.38,-15446.05585239855,-22801.428609833936
0.01,0.27,0.35,0.37,-15408.100411655123,-22697.43113694536
0.01,0.27,0.36,0.36,-15365.714748218687,-22590.537213519194
0.01,0.27,0.37,0.35,-15319.031008615013,-22480.850269873656
0.01,0.27,0.38,0.34,-15268.177055751925,-22368.468756101844
0.01,0.27,0.39,0.33,-15213.276449003135,-22253.486122169812
0.01,0.27,0.4,0.32,-15154.448383994863,-22135.990757727097
0.01,0.28,0.3,0.41,-15409.906944367445,-22976.205758502616
