Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-55165.252936963676,-59388.19983900559
0.01,0.19,0.39,0.41,-55105.77460429086,-59308.108719157884
0.01,0.19,0.4,0.4,-55057.01589212477,-59233.61558411711
0.01,0.2,0.38,0.41,-55036.51484403331,-59219.93831364088
0.01,0.2,0.39,0.4,-54991.01981435582,-59147.43858976638
0.01,0.2,0.4,0.39,-54939.288230849575,-59069.575015007744
0.01,0.21,0.37,0.41,-54957.69433955189,-59123.88284308241
0.01,0.21,0.38,0.4,-54915.55541489765,-59053.46385462835
0.01,0.21,0.39,0.39,-54867.11847770642,-58977.62496062508
0.01,0.21,0.4,0.38,-54812.483362549174,-58896.44383256556
0.01,0.22,0.36,0.41,-54869.50745617851,-59020.11037685363
0.01,0.22,0.37,0.4,-54830.81899752461,-58951.86283417083
0.01,0.22,0.38,0.39,-54785.76773172303,-58878.13584794489
0.01,0.22,0.39,0.38,-54734.45822784719,-58799.0107762387
0.01,0.22,0.4,0.37,-54676.988629077896,-58714.56185444996
0.01,0.23,0.35,0.41,-54772.125101168705,-58908.76553957786
0.01,0.23,0.36,0.4,-54736.9836862541,-58842.78381309203
0.01,0.23,0.37,0.39,-54695.41105535926,-58771.25934340822
0.01,0.23,0.38,0.38,-54647.51679037947,-58694.277453478026
0.01,0.23,0.39,0.37,-54593.40376899798,-58611.916065268015
0.01,0.23,0.4,0.36,-54533.168192533136,-58524.24572760677
0.01,0.24,0.34,0.41,-54665.697005091,-58789.971778839266
0.01,0.24,0.35,0.4,-54634.20173856446,-58726.354209177065
0.01,0.24,0.36,0.39,-54596.202922855315,-58657.126524834144
0.01,0.24,0.37,0.38,-54551.81546282866,-58582.37832379759
0.01,0.24,0.38,0.37,-54501.147248989626,-58502.1914929194
0.01,0.24,0.39,0.36,-54444.29921715899,-58416.64026759167
0.01,0.24,0.4,0.35,-54381.36534847327,-58325.79123174542
0.01,0.25,0.33,0.41,-54550.35353409454,-58663.83317711949
0.01,0.25,0.34,0.4,-54522.60639417546,-58602.68242154496
0.01,0.25,0.35,0.39,-54488.27910084078,-58535.84976137955
0.01,0.25,0.36,0.38,-54447.49222858622,-58463.42941630533
0.01,0.25,0.37,0.37,-54400.358990886714,-58385.50754821324
0.01,0.25,0.38,0.36,-54346.98533638493,-58302.16235739189
0.01,0.25,0.39,0.35,-54287.46998071982,-58213.46411435647
0.01,0.25,0.4,0.34,-54221.904374698024,-58119.47512802116
0.01,0.26,0.32,0.41,-54426.20711419459,-58530.43588283021
0.01,0.26,0.33,0.4,-54402.313341383706,-58471.85930428577
0.01,0.26,0.34,0.39,-54371.75815118287,-58407.52422412275
0.01,0.26,0.35,0.38,-54334.66817642919,-58337.52987242312
0.01,0.26,0.36,0.37,-54291.16230022817,-58261.96703277131
0.01,0.26,0.37,0.36,-54241.351794192335,-58180.91818049266
0.01,0.26,0.38,0.35,-54185.34038678247,-58094.45755099503
0.01,0.26,0.39,0.34,-54123.22426330767,-58002.651139769696
0.01,0.26,0.4,0.33,-54055.09199758402,-57905.55663405139
0.01,0.27,0.31,0.41,-54293.353327635064,-58389.84920025806
0.01,0.27,0.32,0.4,-54273.42186205124,-58333.95930409224
0.01,0.27,0.33,0.39,-54246.742618025,-58272.22906490843
0.01,0.27,0.34,0.38,-54213.448724071575,-58204.763160507435
0.01,0.27,0.35,0.37,-54173.66512163783,-58131.65738486436
0.01,0.27,0.36,0.36,-54127.508751966874,-58052.998834992235
0.01,0.27,0.37,0.35,-54075.08866648934,-57968.86602133282
0.01,0.27,0.38,0.34,-54016.506063336215,-57879.32890426992
0.01,0.27,0.39,0.33,-53951.854250825956,-57784.448857617834
0.01,0.27,0.4,0.32,-53881.21853707333,-57684.27855823222
0.01,0.28,0.3,0.41,-54151.87172527757,-58242.12640836952
0.01,0.28,0.31,0.4,-54136.01570047144,-58189.04133585005
0.01,0.28,0.32,0.39,-54113.31994527868,-58130.02834086154
0.01,0.28,0.33,0.38,-54083.92457770623,-58065.19804270048
0.01,0.28,0.34,0.37,-54047.96103487915,-57994.651683040305
0.01,0.28,0.35,0.36,-54005.55231638187,-57918.48136926935
0.01,0.28,0.36,0.35,-53956.81314327562,-57836.77023350617
0.01,0.28,0.37,0.34,-53901.85003666123,-57749.59251116162
0.01,0.28,0.38,0.33,-53840.761317679026,-57657.01354093926
0.01,0.28,0.39,0.32,-53773.63702894621,-57559.08968627424
0.01,0.28,0.4,0.31,-53700.55877553928,-57455.86817631883
0.01,0.29,0.29,0.41,-54001.826386276545,-58087.30532161472
0.01,0.29,0.3,0.4,-53990.163688943096,-58037.14940903872
0.01,0.29,0.31,0.39,-53971.56315867444,-57980.97169698624
0.01,0.29,0.32,0.38,-53946.17246268187,-57918.88930589664
0.01,0.29,0.33,0.37,-53914.13002758216,-57851.009418901485
0.01,0.29,0.34,0.36,-53875.565348637945,-57777.429591057386
0.01,0.29,0.35,0.35,-53830.59920525178,-57698.2379648348
0.01,0.29,0.36,0.34,-53779.34378815506,-57613.513397303665
0.01,0.29,0.37,0.33,-53721.902741458,-57523.32550218188
0.01,0.29,0.38,0.32,-53658.37112059963,-57427.73460778565
0.01,0.29,0.39,0.31,-53588.83526515891,-57326.79162984254
0.01,0.29,0.4,0.3,-53513.3725833607,-57220.537856001065
0.01,0.3,0.28,0.41,-53843.26624591743,-57925.408620244445
0.01,0.3,0.29,0.4,-53835.92015288223,-57878.31303508846
0.01,0.3,0.3,0.39,-53821.53133677265,-57825.094839211226
0.01,0.3,0.31,0.38,-53800.25565099058,-57765.878291074536
0.01,0.3,0.32,0.37,-53772.23907135715,-57700.77707489155
0.01,0.3,0.33,0.36,-53737.61808262671,-57629.89468712633
0.01,0.3,0.34,0.35,-53696.51995988001,-57553.32471787622
0.01,0.3,0.35,0.34,-53649.062952189764,-57471.15103452965
0.01,0.3,0.36,0.33,-53595.356373296796,-57383.44787243723
0.01,0.3,0.37,0.32,-53535.50060160995,-57290.27983490922
0.01,0.3,0.38,0.31,-53469.5869895301,-57191.70180253928
0.01,0.3,0.39,0.3,-53397.69767978448,-57087.75874954095
0.01,0.3,0.4,0.29,-53319.9053240336,-56978.48546235884
0.01,0.31,0.27,0.41,-53676.22520359478,-57756.443961083416
0.01,0.31,0.28,0.4,-53673.325109888836,-57712.5474289748
0.01,0.31,0.29,0.39,-53663.2698873039,-57662.41981301678
0.01,0.31,0.3,0.38,-53646.224303507304,-57606.19323760538
0.01,0.31,0.31,0.37,-53622.34252051078,-57543.98852488358
0.01,0.31,0.32,0.36,-53591.76857227302,-57475.91567231896
0.01,0.31,0.33,0.35,-53554.636723366486,-57402.07421135078
0.01,0.31,0.34,0.34,-53511.07171854211,-57322.55345693977
0.01,0.31,0.35,0.33,-53461.18892988201,-57237.43265470993
0.01,0.31,0.36,0.32,-53405.094405425654,-57146.78102956737
0.01,0.31,0.37,0.31,-53342.88482054373,-57050.65773707013
0.01,0.31,0.38,0.3,-53274.64733078539,-56949.1117162744
0.01,0.31,0.39,0.29,-53200.4593223135,-56842.18144017175
0.01,0.31,0.4,0.28,-53120.388053237955,-56729.89455702722
0.01,0.32,0.26,0.41,-53500.72201483417,-57580.40387265105
0.01,0.32,0.27,0.4,-53502.40426974689,-57539.853512018126
0.01,0.32,0.28,0.39,-53496.81063825759,-57492.95509705226
0.01,0.32,0.29,0.38,-53484.115638352065,-57439.84945389931
0.01,0.32,0.3,0.37,-53464.482346307406,-57380.66527050428
0.01,0.32,0.31,0.36,-53438.06298227295,-57315.519682151484
0.01,0.32,0.32,0.35,-53404.9993600255,-57244.518721187225
0.01,0.32,0.33,0.34,-53365.4232138077,-57167.757643832156
0.01,0.32,0.34,0.33,-53319.456411379855,-57085.32114321314
0.01,0.32,0.35,0.32,-53267.21105912278,-56997.28345445122
0.01,0.32,0.36,0.31,-53208.78950203775,-56903.70835465133
0.01,0.32,0.37,0.3,-53144.28421864374,-56804.64905779329
0.01,0.32,0.38,0.29,-53073.777607925505,-56700.14800167773
0.01,0.32,0.39,0.28,-52997.34166249536,-56590.2365210891
0.01,0.32,0.4,0.27,-52915.03751883777,-56474.93439804532
0.01,0.33,0.25,0.41,-53316.75996345397,-57397.265430715386
0.01,0.33,0.26,0.4,-53323.16883535761,-57360.21771587863
0.01,0.33,0.27,0.39,-53322.17174679338,-57316.69551481019
0.01,0.33,0.28,0.38,-53313.95393088988,-57266.84931989761
0.01,0.33,0.29,0.37,-53298.688214242684,-57210.81652065489
0.01,0.33,0.3,0.36,-53276.53573126651,-57148.72211801204
0.01,0.33,0.31,0.35,-53247.64648192874,-57080.67928199722
0.01,0.33,0.32,0.34,-53212.15974967643,-57006.78976962193
0.01,0.33,0.33,0.33,-53170.20439176157,-56927.14421517312
0.01,0.33,0.34,0.32,-53121.89901024315,-56841.82230118902
0.01,0.33,0.35,0.31,-53067.352008463786,-56750.89281491621
0.01,0.33,0.36,0.3,-53006.66153457307,-56654.41359181889
