Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-63938.62897799073,-67467.53921193173
0.01,0.19,0.39,0.41,-63878.14012961372,-67387.39507822115
0.01,0.19,0.4,0.4,-63830.26723724618,-67319.31375048074
0.01,0.2,0.38,0.41,-63807.46499467517,-67298.4584805537
0.01,0.2,0.39,0.4,-63762.85601542066,-67232.54920011507
0.01,0.2,0.4,0.39,-63711.6696360984,-67160.81951433841
0.01,0.21,0.37,0.41,-63726.84055344695,-67200.93998935036
0.01,0.21,0.38,0.4,-63685.591418806885,-67137.29355317769
0.01,0.21,0.39,0.39,-63637.69902724646,-67067.76255140913
0.01,0.21,0.4,0.38,-63583.258518050396,-66992.41959531452
0.01,0.22,0.36,0.41,-63636.47507562387,-67095.0215822075
0.01,0.22,0.37,0.4,-63598.68395901326,-67033.73247554939
0.01,0.22,0.38,0.39,-63554.1800892561,-66966.49085623334
0.01,0.22,0.39,0.38,-63503.06364361064,-66893.3733255699
0.01,0.22,0.4,0.37,-63445.427789270514,-66814.44877803231
0.01,0.23,0.35,0.41,-63536.55124027195,-66980.85965550355
0.01,0.23,0.36,0.4,-63502.318860640575,-66922.02635244915
0.01,0.23,0.37,0.39,-63461.300288641665,-66857.16849924036
0.01,0.23,0.38,0.38,-63413.60104312828,-66786.36699084922
0.01,0.23,0.39,0.37,-63359.31932926757,-66709.69471178892
0.01,0.23,0.4,0.36,-63298.546068919575,-66627.21656649253
0.01,0.24,0.34,0.41,-63427.22862461688,-66858.58750352786
0.01,0.24,0.35,0.4,-63396.65858479249,-66802.31280533464
0.01,0.24,0.36,0.39,-63359.2246320416,-66739.93709069946
0.01,0.24,0.37,0.38,-63315.03796515527,-66671.54588659832
0.01,0.24,0.38,0.37,-63264.20213089541,-66597.21637120364
0.01,0.24,0.39,0.36,-63206.81308909565,-66517.01743898458
0.01,0.24,0.4,0.35,-63142.95921266124,-66431.00970070646
0.01,0.25,0.33,0.41,-63308.64568106316,-66728.31729526639
0.01,0.25,0.34,0.4,-63281.844845926906,-66674.70870837705
0.01,0.25,0.35,0.39,-63248.097717791796,-66614.91783183503
0.01,0.25,0.36,0.38,-63207.5215535623,-66549.03520279471
0.01,0.25,0.37,0.37,-63160.2255799383,-66477.1426314348
0.01,0.25,0.38,0.36,-63106.3110983482,-66399.31330589157
0.01,0.25,0.39,0.35,-63045.8715196708,-66315.61182698111
0.01,0.25,0.4,0.34,-62978.9923295134,-66226.09417347792
0.01,0.26,0.32,0.41,-63180.921290960185,-66590.14163293142
0.01,0.26,0.33,0.4,-63158.00021149468,-66539.31179325523
0.01,0.26,0.34,0.39,-63128.045375396505,-66482.21315975893
0.01,0.26,0.35,0.38,-63091.18052173159,-66418.9417038192
0.01,0.26,0.36,0.37,-63047.52093531322,-66349.58424579215
0.01,0.26,0.37,0.36,-62997.17359750778,-66274.21860581877
0.01,0.26,0.38,0.35,-62940.23726078883,-66192.91367837945
0.01,0.26,0.39,0.34,-62876.80244873726,-66105.72943229454
0.01,0.26,0.4,0.33,-62806.95138148692,-66012.71683617117
0.01,0.27,0.31,0.41,-63044.15596063402,-66444.13474346224
0.01,0.27,0.32,0.4,-63025.229351018046,-66396.20189303967
0.01,0.27,0.33,0.39,-62999.17596047943,-66341.90803663644
0.01,0.27,0.34,0.38,-62966.12648734025,-66281.35505693372
0.01,0.27,0.35,0.37,-62926.20269857526,-66214.63520850342
0.01,0.27,0.36,0.36,-62879.51763366424,-66141.83132165979
0.01,0.27,0.37,0.35,-62826.17572501876,-66063.01692288597
0.01,0.27,0.38,0.34,-62766.272837814446,-65978.25627466654
0.01,0.27,0.39,0.33,-62699.89623015873,-65887.60433565614
0.01,0.27,0.4,0.32,-62627.124432664044,-65791.10664025426
0.01,0.28,0.3,0.41,-62898.432707630076,-66290.35336929772
0.01,0.28,0.31,0.4,-62883.61998394432,-66245.44189479396
0.01,0.28,0.32,0.39,-62861.58135568405,-66194.07095554462
0.01,0.28,0.33,0.38,-62832.455019133195,-66136.34888421505
0.01,0.28,0.34,0.37,-62796.369700522766,-66072.3738466671
