Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-276196.97257463087,-265414.0328985862
0.01,0.19,0.39,0.41,-276129.9533213326,-265399.1647237714
0.01,0.19,0.4,0.4,-276116.0209172138,-265460.1937549589
0.01,0.2,0.38,0.41,-276045.0554609137,-265361.954642785
0.01,0.2,0.39,0.4,-276034.39135177183,-265428.5498293517
0.01,0.2,0.4,0.39,-276010.67376402166,-265480.6500760114
0.01,0.21,0.37,0.41,-275942.82561495487,-265302.9229915346
0.01,0.21,0.38,0.4,-275935.5924026603,-265375.24109052005
0.01,0.21,0.39,0.39,-275915.15629016154,-265432.84608302475
0.01,0.21,0.4,0.38,-275881.52320630394,-265475.71443607984
0.01,0.22,0.36,0.41,-275823.7362360459,-265222.5159395811
0.01,0.22,0.37,0.4,-275820.1045303341,-265300.7231592475
0.01,0.22,0.38,0.39,-275803.1110974971,-265363.98955309344
0.01,0.22,0.39,0.38,-275772.77267030533,-265412.30134414166
0.01,0.22,0.4,0.37,-275729.0878721956,-265445.62594930804
0.01,0.23,0.35,0.41,-275688.19366765243,-265121.1135475724
0.01,0.23,0.36,0.4,-275688.3428704787,-265205.3863316904
0.01,0.23,0.37,0.39,-275674.96132957883,-265274.4802335274
0.01,0.23,0.38,0.38,-275648.07736600324,-265328.3920164525
0.01,0.23,0.39,0.37,-275607.7004071137,-265367.0988533731
0.01,0.23,0.4,0.36,-275553.821065062,-265390.5584052138
0.01,0.24,0.34,0.41,-275536.54457348585,-264999.03619639645
0.01,0.24,0.35,0.4,-275540.66375307844,-265089.5620982983
0.01,0.24,0.36,0.39,-275531.07210861106,-265164.6598502841
0.01,0.24,0.37,0.38,-275507.81042346696,-265224.3376301226
0.01,0.24,0.38,0.37,-275470.899713288,-265268.5831510676
0.01,0.24,0.39,0.36,-275420.3413941509,-265297.36383003497
0.01,0.24,0.4,0.35,-275356.11728256766,-265310.6267876029
0.01,0.25,0.33,0.41,-275369.08104480273,-264856.5496944757
0.01,0.25,0.34,0.4,-275377.3699126164,-264953.5283540046
0.01,0.25,0.35,0.39,-275371.7558353497,-265034.8174078559
0.01,0.25,0.36,0.38,-275352.29303567245,-265100.43742515106
0.01,0.25,0.37,0.37,-275319.01499155944,-265150.38753354346
0.01,0.25,0.38,0.36,-275271.9347073673,-265184.64569029555
0.01,0.25,0.39,0.35,-275211.04480353306,-265203.16877197707
0.01,0.25,0.4,0.34,-275136.3174268754,-265205.8924847669
0.01,0.26,0.32,0.41,-275186.0446143008,-264693.86929176986
