Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-143775.81832524764,-141430.9734401521
0.01,0.19,0.39,0.41,-143707.81544994618,-141359.08090513689
0.01,0.19,0.4,0.4,-143669.2367576998,-141342.6627192156
0.01,0.2,0.38,0.41,-143626.38741626884,-141272.69081530234
0.01,0.2,0.39,0.4,-143591.07448213085,-141259.8737733976
0.01,0.2,0.4,0.39,-143546.4573780133,-141237.5838905431
0.01,0.21,0.37,0.41,-143531.90157977535,-141172.1442269244
0.01,0.21,0.38,0.4,-143499.97840698148,-141163.04690008092
0.01,0.21,0.39,0.39,-143458.65002220028,-141144.34772726885
0.01,0.21,0.4,0.38,-143407.97400242634,-141116.07883797327
0.01,0.22,0.36,0.41,-143424.67744506377,-141057.73436057798
0.01,0.22,0.37,0.4,-143396.2727065323,-141052.48143321098
0.01,0.22,0.38,0.39,-143358.35564686326,-141037.49144027423
0.01,0.22,0.39,0.38,-143310.99130879366,-141012.80292906196
0.01,0.22,0.4,0.37,-143254.23305161964,-140978.44206665436
0.01,0.23,0.35,0.41,-143304.99186568416,-140929.7117870096
0.01,0.23,0.36,0.4,-143280.2394100514,-140928.43456254283
0.01,0.23,0.37,0.39,-143245.86095095275,-140917.27833228628
0.01,0.23,0.38,0.38,-143201.92950290328,-140896.28856737877
0.01,0.23,0.39,0.37,-143148.50589094163,-140865.49785270946
0.01,0.23,0.4,0.36,-143085.63880126117,-140824.9259375495
0.01,0.24,0.34,0.41,-143173.08319211926,-140788.28857386648
0.01,0.24,0.35,0.4,-143152.1226076448,-140791.12553863542
0.01,0.24,0.36,0.39,-143121.41520029286,-140783.9342728688
0.01,0.24,0.37,0.38,-143081.04252026184,-140766.767735455
0.01,0.24,0.38,0.37,-143031.0733643683,-140739.66543512754
0.01,0.24,0.39,0.36,-142971.5638845482,-140702.65353896594
0.01,0.24,0.4,0.35,-142902.55758785704,-140655.74487239603
0.01,0.25,0.33,0.41,-143029.15456681664,-140633.64158069776
0.01,0.25,0.34,0.4,-143012.13181167573,-140640.73903422177
0.01,0.25,0.35,0.39,-142985.2336468701,-140637.6511176517
0.01,0.25,0.36,0.38,-142948.55078857378,-140624.4389079179
0.01,0.25,0.37,0.37,-142902.16056928664,-140601.14940150385
0.01,0.25,0.38,0.36,-142846.12711272266,-140567.8156893344
0.01,0.25,0.39,0.35,-142780.5013916799,-140524.45701464577
0.01,0.25,0.4,0.34,-142705.3211701704,-140471.07871511567
0.01,0.26,0.32,0.41,-142873.37651379855,-140465.9150491825
0.01,0.26,0.33,0.4,-142860.4446228289,-140477.42781094153
0.01,0.26,0.34,0.39,-142837.50026128485,-140478.58944149048
0.01,0.26,0.35,0.38,-142804.64401806283,-140469.46984254784
0.01,0.26,0.36,0.37,-142761.9623916384,-140450.1241286389
0.01,0.26,0.37,0.36,-142709.52804140883,-140420.5928784383
0.01,0.26,0.38,0.35,-142647.39991195017,-140380.90225902718
0.01,0.26,0.39,0.34,-142575.62323301705,-140331.06402589308
0.01,0.26,0.4,0.33,-142494.22939528603,-140271.07539867325
0.01,0.27,0.31,0.41,-142705.88893204852,-140285.2225959285
0.01,0.27,0.32,0.4,-142697.2088119081,-140301.31480046536
0.01,0.27,0.33,0.39,-142678.36989100324,-140306.88069596823
0.01,0.27,0.34,0.38,-142649.48342611085,-140301.9998041001
0.01,0.27,0.35,0.37,-142610.64578842872,-140286.73606417354
0.01,0.27,0.36,0.36,-142561.93880332983,-140261.1381729045
0.01,0.27,0.37,0.35,-142503.4299510736,-140225.23978512365
0.01,0.27,0.38,0.34,-142435.1724331926,-140179.0595801634
0.01,0.27,0.39,0.33,-142357.20510610592,-140122.601195471
0.01,0.27,0.4,0.32,-142269.55228040763,-140055.85302589746
0.01,0.28,0.3,0.41,-142526.80257258218,-140091.6486901304
0.01,0.28,0.31,0.4,-142522.5438995921,-140112.4946848661
0.01,0.28,0.32,0.39,-142507.96992852452,-140122.62887820546
0.01,0.28,0.33,0.38,-142483.2034818793,-140122.14130959535
0.01,0.28,0.34,0.37,-142448.35159873476,-140111.10553829095
0.01,0.28,0.35,0.36,-142403.50597718623,-140089.57908579413
0.01,0.28,0.36,0.35,-142348.74326346867,-140057.6037249758
0.01,0.28,0.37,0.34,-142284.12519479808,-140015.20562291742
0.01,0.28,0.38,0.33,-142209.6985993715,-139962.39534091068
0.01,0.28,0.39,0.32,-142125.49525352562,-139899.16769161663
0.01,0.28,0.4,0.31,-142031.53159261413,-139825.50144994323
0.01,0.29,0.29,0.41,-142336.20005603853,-139885.24967126426
0.01,0.29,0.3,0.4,-142336.54229384242,-139911.03503410213
0.01,0.29,0.31,0.39,-142326.40155147316,-139925.91177100257
0.01,0.29,0.32,0.38,-142305.9132348132,-139929.9814568497
0.01,0.29,0.33,0.37,-142275.1959486639,-139923.3281686791
0.01,0.29,0.34,0.36,-142234.35205900093,-139906.01904793252
0.01,0.29,0.35,0.35,-142183.4680847817,-139878.1046922647
0.01,0.29,0.36,0.34,-142122.61492919782,-139839.6193867956
0.01,0.29,0.37,0.33,-142051.84795612967,-139790.58118056486
0.01,0.29,0.38,0.32,-141971.2069136919,-139730.99181007722
0.01,0.29,0.39,0.31,-141880.71570298073,-139660.83646805031
0.01,0.29,0.4,0.3,-141780.38198626685,-139580.08341160743
0.01,0.3,0.28,0.41,-142134.13646874923,-139666.05434538363
0.01,0.3,0.29,0.4,-142139.27002646995,-139696.97704278966
0.01,0.3,0.3,0.39,-142133.74057898266,-139716.78179940954
0.01,0.3,0.31,0.38,-142117.69727370905,-139725.58288371167
0.01,0.3,0.32,0.37,-142091.271298833,-139723.47590816332
0.01,0.3,0.33,0.36,-142054.57658605324,-139710.538531982
0.01,0.3,0.34,0.35,-142007.71032220754,-139686.83097275844
0.01,0.3,0.35,0.34,-141950.75328321,-139652.39634039343
0.01,0.3,0.36,0.33,-141883.76999891657,-139607.26080196278
0.01,0.3,0.37,0.32,-141806.80875312517,-139551.43358171723
0.01,0.3,0.38,0.31,-141719.90141871016,-139484.90679621673
0.01,0.3,0.39,0.3,-141623.06312368467,-139407.65512039335
0.01,0.3,0.4,0.29,-141516.29173957685,-139319.63527592758
0.01,0.31,0.27,0.41,-141920.6395590626,-139434.0641816993
0.01,0.31,0.28,0.4,-141930.76711507468,-139470.33589237355
0.01,0.31,0.29,0.39,-141930.03797413222,-139495.26653337217
0.01,0.31,0.3,0.38,-141918.6163489686,-139508.98439050536
0.01,0.31,0.31,0.37,-141896.64716930687,-139511.59776981603
0.01,0.31,0.32,0.36,-141864.25695022836,-139503.19586594636
0.01,0.31,0.33,0.35,-141821.5544442939,-139483.84941425684
0.01,0.31,0.34,0.34,-141768.63109529793,-139453.61114457928
0.01,0.31,0.35,0.33,-141705.5613058188,-139412.51604876606
