Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-73000.23398956131,-75831.04298545214
0.01,0.19,0.39,0.41,-72938.70936294313,-75750.91658440242
0.01,0.19,0.4,0.4,-72891.78382856048,-75689.27811176812
0.01,0.2,0.38,0.41,-72866.59359078662,-75661.28456051499
0.01,0.2,0.39,0.4,-72822.93220014141,-75601.99677175947
0.01,0.2,0.4,0.39,-72772.35256318949,-75536.4320232131
0.01,0.21,0.37,0.41,-72784.13995027464,-75562.37381592493
0.01,0.21,0.38,0.4,-72743.84214383508,-75505.53098028267
0.01,0.21,0.39,0.39,-72696.55583609181,-75442.3389189979
0.01,0.21,0.4,0.38,-72642.37147104325,-75372.86518311733
0.01,0.22,0.36,0.41,-72691.57061546487,-75454.38023513333
0.01,0.22,0.37,0.4,-72654.7383790839,-75400.08061274984
0.01,0.22,0.38,0.39,-72610.84344355749,-75339.35540859397
0.01,0.22,0.39,0.38,-72559.98159432877,-75272.27646722413
0.01,0.22,0.4,0.37,-72502.24102260415,-75198.90734218918
0.01,0.23,0.35,0.41,-72589.08003723387,-75337.47198629267
0.01,0.23,0.36,0.4,-72555.81823107206,-75285.8181549221
0.01,0.23,0.37,0.39,-72515.41525615544,-75227.65796644162
0.01,0.23,0.38,0.38,-72467.97256829479,-75163.06788784395
0.01,0.23,0.39,0.37,-72413.5837001412,-75092.11576618909
0.01,0.23,0.4,0.36,-72352.3342940964,-75014.86086151464
0.01,0.24,0.34,0.41,-72476.83763946447,-75211.79221038113
0.01,0.24,0.35,0.4,-72447.25436452855,-75162.89143191355
0.01,0.24,0.36,0.39,-72410.44681292228,-75107.3987352426
0.01,0.24,0.37,0.38,-72366.52247736261,-75045.3955763332
0.01,0.24,0.38,0.37,-72315.5805608683,-74976.95442467801
0.01,0.24,0.39,0.36,-72257.71204728575,-74902.13883382305
0.01,0.24,0.4,0.35,-72192.99970128898,-74821.003441367
0.01,0.25,0.33,0.41,-72354.9899608165,-75077.46116280381
0.01,0.25,0.34,0.4,-72329.19696864941,-75031.42579284022
0.01,0.25,0.35,0.39,-72296.09154390024,-74978.70774816522
0.01,0.25,0.36,0.38,-72255.78762588213,-74919.39388340536
0.01,0.25,0.37,0.37,-72208.39045452,-74853.56165702728
0.01,0.25,0.38,0.36,-72153.99668402791,-74781.27924501529
0.01,0.25,0.39,0.35,-72092.69442052458,-74702.60557848713
0.01,0.25,0.4,0.34,-72024.56318441793,-74617.59030607886
0.01,0.26,0.32,0.41,-72223.66233797352,-74934.5779000979
0.01,0.26,0.33,0.4,-72201.77549003974,-74891.5258475049
0.01,0.26,0.34,0.39,-72172.48254623059,-74841.69470890312
0.01,0.26,0.35,0.38,-72135.90435184079,-74785.17719696308
0.01,0.26,0.36,0.37,-72092.15259339141,-74722.05616881224
0.01,0.26,0.37,0.36,-72041.3299620027,-74652.40478940777
0.01,0.26,0.38,0.35,-71983.53023416104,-74576.28661230377
0.01,0.26,0.39,0.34,-71918.83827171901,-74493.75557965167
0.01,0.26,0.4,0.33,-71847.32994112834,-74404.85594143391
0.01,0.27,0.31,0.41,-72082.96020134375,-74783.22157234403
0.01,0.27,0.32,0.4,-72065.09998588199,-74743.27681579426
0.01,0.27,0.33,0.39,-72039.73398701733,-74696.4503903387
0.01,0.27,0.34,0.38,-72006.99047287874,-74642.84138353528
0.01,0.27,0.35,0.37,-71966.98803596885,-74582.53851055077
0.01,0.27,0.36,0.36,-71919.83581400411,-74515.6203350002
0.01,0.27,0.37,0.35,-71865.63362037702,-74442.15539940905
0.01,0.27,0.38,0.34,-71804.47198730789,-74362.20226836503
0.01,0.27,0.39,0.33,-71736.43212269305,-74275.80948536722
0.01,0.27,0.4,0.32,-71661.58577964266,-74183.01544236475
0.01,0.28,0.3,0.41,-71932.97003515641,-74623.45238655138
0.01,0.28,0.31,0.4,-71919.26215077737,-74586.74555796727
0.01,0.28,0.32,0.39,-71897.94218763593,-74543.0477224514
0.01,0.28,0.33,0.38,-71869.14642029302,-74492.46492602817
0.01,0.28,0.34,0.37,-71833.00086408557,-74435.09225874126
0.01,0.28,0.35,0.36,-71789.62156271152,-74371.01414223712
0.01,0.28,0.36,0.35,-71739.1147761596,-74300.30451769347
0.01,0.28,0.37,0.34,-71681.57707355621,-74223.02693866592
0.01,0.28,0.38,0.33,-71617.09533316545,-74139.23457108816
0.01,0.28,0.39,0.32,-71545.74664954211,-74048.97010042596
0.01,0.28,0.4,0.31,-71467.59814560213,-73952.26554374884
0.01,0.29,0.29,0.41,-71773.7600388958,-74455.31226867039
0.01,0.29,0.3,0.4,-71764.33605606083,-74421.98131439398
0.01,0.29,0.31,0.39,-71747.1864297933,-74381.54259865885
0.01,0.29,0.32,0.38,-71722.45610256483,-74334.1097874009
0.01,0.29,0.33,0.37,-71690.27909614428,-74279.78492911105
0.01,0.29,0.34,0.36,-71650.77887706384,-74218.65882029723
0.01,0.29,0.35,0.35,-71604.06861129383,-74150.8112601566
0.01,0.29,0.36,0.34,-71550.25131455681,-74076.31120088793
0.01,0.29,0.37,0.33,-71489.41990202302,-73995.21679738628
0.01,0.29,0.38,0.32,-71421.65713861493,-73907.57535754782
0.01,0.29,0.39,0.31,-71347.03548869319,-73813.42319195656
0.01,0.29,0.4,0.3,-71265.61686138167,-73712.7853592115
0.01,0.3,0.28,0.41,-71605.38051474653,-74278.82525230873
0.01,0.3,0.29,0.4,-71600.37862856948,-74249.01618547486
0.01,0.3,0.3,0.39,-71587.52951217725,-74211.97443350893
0.01,0.3,0.31,0.38,-71566.9875287539,-74167.82203500558
0.01,0.3,0.32,0.37,-71538.89536797894,-74116.66865833578
0.01,0.3,0.33,0.36,-71503.38450281663,-74058.61205842873
0.01,0.3,0.34,0.35,-71460.5755220714,-73993.73840932187
0.01,0.3,0.35,0.34,-71410.57834744749,-73922.12252121628
0.01,0.3,0.36,0.33,-71353.49234071127,-73843.82794763669
0.01,0.3,0.37,0.32,-71289.40630369136,-73758.9069854302
0.01,0.3,0.38,0.31,-71218.3983711161,-73667.40056760357
0.01,0.3,0.39,0.3,-71140.53579355401,-73569.33804626501
0.01,0.3,0.4,0.29,-71055.8746048584,-73464.73686007065
0.01,0.31,0.27,0.41,-71427.863995204,-74093.99760777455
0.01,0.31,0.28,0.4,-71427.42988590333,-74067.8653681973
0.01,0.31,0.29,0.39,-71419.01807704022,-74034.366490436
0.01,0.31,0.3,0.38,-71402.79321296337,-73993.63224611252
0.01,0.31,0.31,0.37,-71378.90740406472,-73945.78067620908
0.01,0.31,0.32,0.36,-71347.50079121921,-73890.9171554949
0.01,0.31,0.33,0.35,-71308.70196966332,-73829.1348163951
0.01,0.31,0.34,0.34,-71262.62828393541,-73760.5148439231
0.01,0.31,0.35,0.33,-71209.38600178347,-73685.12664958273
0.01,0.31,0.36,0.32,-71149.07037163233,-73603.0279288319
0.01,0.31,0.37,0.31,-71081.76556511644,-73514.26460361312
