Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-23318.07784420564,-30300.259815560603
0.01,0.19,0.39,0.41,-23261.58750780218,-30219.72400910176
0.01,0.19,0.4,0.4,-23210.01459211156,-30120.204171524703
0.01,0.2,0.38,0.41,-23196.93517972117,-30133.962387584586
0.01,0.2,0.39,0.4,-23148.62502402148,-30035.721433862058
0.01,0.2,0.4,0.39,-23095.441699448944,-29933.942847115984
0.01,0.21,0.37,0.41,-23124.27635567951,-30043.103066822165
0.01,0.21,0.38,0.4,-23079.307346638256,-29946.214413208898
0.01,0.21,0.39,0.39,-23029.42130259345,-29845.764494234307
0.01,0.21,0.4,0.38,-22974.736839261193,-29741.851222285066
0.01,0.22,0.36,0.41,-23043.749783557516,-29947.258431747952
0.01,0.22,0.37,0.4,-23002.20103240011,-29851.797688967687
0.01,0.22,0.38,0.39,-22955.689258090548,-29752.74977911839
0.01,0.22,0.39,0.38,-22904.336596962814,-29650.215087277327
0.01,0.22,0.4,0.37,-22848.261096146514,-29544.28921254707
0.01,0.23,0.35,0.41,-22955.479283368702,-29846.526020704365
0.01,0.23,0.36,0.4,-22917.430802990846,-29752.571144589892
0.01,0.23,0.37,0.39,-22874.37101218193,-29655.000753139713
0.01,0.23,0.38,0.38,-22826.425745006236,-29553.917881229885
0.01,0.23,0.39,0.37,-22773.716569211265,-29449.420600646943
0.01,0.23,0.4,0.36,-22716.36080394872,-29341.6020378077
0.01,0.24,0.34,0.41,-22859.575199053048,-29740.989893812613
0.01,0.24,0.35,0.4,-22825.1081013876,-29648.62138253964
0.01,0.24,0.36,0.39,-22785.578909515032,-29552.606363621926
0.01,0.24,0.37,0.38,-22741.11735259679,-29453.05071909443
0.01,0.24,0.38,0.37,-22691.848696110657,-29350.05517052263
0.01,0.24,0.39,0.36,-22637.893779826238,-29243.71531697442
0.01,0.24,0.4,0.35,-22579.36901780494,-29134.121635013897
0.01,0.25,0.33,0.41,-22756.13555173818,-29630.721784216403
0.01,0.25,0.34,0.4,-22725.332268357477,-29540.022897537183
0.01,0.25,0.35,0.39,-22689.413389894118,-29445.643646633634
0.01,0.25,0.36,0.38,-22648.512761209025,-29347.69298129363
