Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-132920.16039620622,-131353.53841726723
0.01,0.19,0.39,0.41,-132852.995487062,-131279.13492625795
0.01,0.19,0.4,0.4,-132812.93169406994,-131256.27015506302
0.01,0.2,0.38,0.41,-132772.81027851874,-131190.94700597593
0.01,0.2,0.39,0.4,-132736.01201301065,-131171.50474146224
0.01,0.2,0.4,0.39,-132690.25042376193,-131143.04619044968
0.01,0.21,0.37,0.41,-132679.95582922513,-131089.29941203687
0.01,0.21,0.38,0.4,-132646.54358546992,-131073.39475373403
0.01,0.21,0.39,0.39,-132604.07137411076,-131048.3529095092
0.01,0.21,0.4,0.38,-132552.60146742853,-131014.21106907049
0.01,0.22,0.36,0.41,-132574.73773941633,-130974.47146037889
0.01,0.22,0.37,0.4,-132544.83637789442,-130962.22531780678
0.01,0.22,0.38,0.39,-132505.77264123375,-130940.71517877872
0.01,0.22,0.39,0.38,-132457.61596398667,-130909.98434734088
0.01,0.22,0.4,0.37,-132400.42468143633,-130870.06433149746
0.01,0.23,0.35,0.41,-132457.42109083186,-130846.70194994201
0.01,0.23,0.36,0.4,-132431.16031896873,-130838.24152285667
0.01,0.23,0.37,0.39,-132395.628520027,-130820.38389693553
0.01,0.23,0.38,0.38,-132350.90277156403,-130793.17897129638
0.01,0.23,0.39,0.37,-132297.04857113442,-130756.66436828132
0.01,0.23,0.4,0.36,-132234.11988438998,-130710.86548155661
0.01,0.24,0.34,0.41,-132328.23438729745,-130706.19310171278
0.01,0.24,0.35,0.4,-132305.74929517368,-130701.65241581398
0.01,0.24,0.36,0.39,-132273.87774391632,-130687.5744011415
0.01,0.24,0.37,0.38,-132232.70498979784,-130664.01608759456
0.01,0.24,0.38,0.37,-132182.30417337795,-130631.02169258657
0.01,0.24,0.39,0.36,-132122.73642257985,-130588.62272412107
0.01,0.24,0.4,0.35,-132054.05085269024,-130536.83798079172
0.01,0.25,0.33,0.41,-132187.37268500513,-130553.11368896748
0.01,0.25,0.34,0.4,-132168.80434413426,-130552.63419465134
