Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-225575.8426302712,-217842.28864986467
0.01,0.19,0.39,0.41,-225506.30739056456,-217802.76983142845
0.01,0.19,0.4,0.4,-225481.83873913687,-217834.16245245628
0.01,0.2,0.38,0.41,-225420.5129796445,-217743.76159516745
0.01,0.2,0.39,0.4,-225399.3117006961,-217780.0058219185
0.01,0.2,0.4,0.39,-225366.4203280953,-217803.5813265651
0.01,0.21,0.37,0.41,-225318.94083144763,-217665.719087241
0.01,0.21,0.38,0.4,-225301.1554909818,-217706.9577910078
0.01,0.21,0.39,0.39,-225271.54822784508,-217735.3420284801
0.01,0.21,0.4,0.38,-225230.1437520282,-217750.86850758138
0.01,0.22,0.36,0.41,-225202.00778111236,-217569.03285960472
0.01,0.22,0.37,0.4,-225187.7937391128,-217615.4171490689
0.01,0.22,0.38,0.39,-225161.61775398342,-217648.7528891673
0.01,0.22,0.39,0.38,-225123.51412575544,-217669.04532993058
0.01,0.22,0.4,0.37,-225073.50138181442,-217676.28325197066
0.01,0.23,0.35,0.41,-225070.0730848622,-217454.0358856666
0.01,0.23,0.36,0.4,-225059.59317844087,-217505.72578992698
0.01,0.23,0.37,0.39,-225037.00243384257,-217544.1640397212
0.01,0.23,0.38,0.38,-225002.34542428676,-217569.3651103345
0.01,0.23,0.39,0.37,-224955.65026719938,-217581.326324486
0.01,0.23,0.4,0.36,-224896.9286925657,-217580.0279206807
0.01,0.24,0.34,0.41,-224923.44401978,-217321.0091596843
0.01,0.24,0.35,0.4,-224916.86932444933,-217378.1743895285
0.01,0.24,0.36,0.39,-224898.02526003413,-217421.87507650416
0.01,0.24,0.37,0.38,-224866.96743421417,-217452.13568242348
0.01,0.24,0.38,0.37,-224823.73423760376,-217468.96275526017
0.01,0.24,0.39,0.36,-224768.34699022854,-217472.3450756261
0.01,0.24,0.4,0.35,-224700.8099415254,-217462.25365677135
0.01,0.25,0.33,0.41,-224762.38033210073,-217170.18614504882
0.01,0.25,0.34,0.4,-224759.89101266846,-217233.00694384184
