Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-9764.080239575362,-18129.866951227363
0.01,0.19,0.39,0.41,-9707.930280196724,-18047.847996279404
0.01,0.19,0.4,0.4,-9655.478374666318,-17936.500218945148
0.01,0.2,0.38,0.41,-9644.428047094118,-17962.03281571918
0.01,0.2,0.39,0.4,-9595.238440305806,-17851.606723508437
0.01,0.2,0.4,0.39,-9541.857357122604,-17738.5561073734
0.01,0.21,0.37,0.41,-9573.69644216248,-17872.513814066464
0.01,0.21,0.38,0.4,-9527.840502850191,-17763.07580457622
0.01,0.21,0.39,0.39,-9477.758017301085,-17651.005849823327
0.01,0.21,0.4,0.38,-9423.576991803793,-17536.411982645404
0.01,0.22,0.36,0.41,-9495.846404556316,-17779.37533984254
0.01,0.22,0.37,0.4,-9453.395619069634,-17670.99347384781
0.01,0.22,0.38,0.39,-9406.681702428552,-17559.970579077362
0.01,0.22,0.39,0.38,-9355.835574597353,-17446.416554134757
0.01,0.22,0.4,0.37,-9300.985234680033,-17330.437680000636
0.01,0.23,0.35,0.41,-9410.978210668138,-17682.691391035572
0.01,0.23,0.36,0.4,-9372.004309481137,-17575.435417302215
0.01,0.23,0.37,0.39,-9328.72905063766,-17465.527542301938
0.01,0.23,0.38,0.38,-9281.286394286486,-17353.07965689712
0.01,0.23,0.39,0.37,-9229.80725320726,-17238.199907808856
0.01,0.23,0.4,0.36,-9174.419505468337,-17120.992710270333
0.01,0.24,0.34,0.41,-9319.182511123645,-17582.52633161648
0.01,0.24,0.35,0.4,-9283.757609811219,-17476.46782736649
0.01,0.24,0.36,0.39,-9243.991341779423,-17367.744618956345
0.01,0.24,0.37,0.38,-9200.020848337856,-17256.470730457593
0.01,0.24,0.38,0.37,-9151.980082450655,-17142.75630077378
0.01,0.24,0.39,0.36,-9099.999835861823,-17026.70761075231
0.01,0.24,0.4,0.35,-9044.207739095218,-16908.427083160535
0.01,0.25,0.33,0.41,-9220.541154539715,-17478.93570754647
0.01,0.25,0.34,0.4,-9188.737911350678,-17374.14823077309
0.01,0.25,0.35,0.39,-9152.551352245457,-17266.681160408523
0.01,0.25,0.36,0.38,-9112.121957267569,-17156.65081127453
0.01,0.25,0.37,0.37,-9067.586860541975,-17044.169455563588
