Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-263308.9445020537,-253287.9780987736
0.01,0.19,0.39,0.41,-263241.09153388947,-253266.70981127577
0.01,0.19,0.4,0.4,-263224.37664800003,-253320.18303728892
0.01,0.2,0.38,0.41,-263155.7648175814,-253223.8127395574
0.01,0.2,0.39,0.4,-263142.3179960445,-253282.6734835327
0.01,0.2,0.4,0.39,-263116.15854213823,-253327.49584205166
0.01,0.21,0.37,0.41,-263053.4946777992,-253159.79092221544
0.01,0.21,0.38,0.4,-263043.4750135184,-253224.19246975874
0.01,0.21,0.39,0.39,-263020.5976934167,-253274.3455708678
0.01,0.21,0.4,0.38,-262984.8733416259,-253310.23175279688
0.01,0.22,0.36,0.41,-262934.7396627697,-253075.07662441864
0.01,0.22,0.37,0.4,-262928.31395304255,-253145.18140889698
0.01,0.22,0.38,0.39,-262908.876462189,-253200.81843666852
0.01,0.22,0.39,0.38,-262876.44831479486,-253241.9786875079
0.01,0.22,0.4,0.37,-262831.0331102839,-253268.6349192552
0.01,0.23,0.35,0.41,-262799.8943441482,-252970.0381350048
0.01,0.23,0.36,0.4,-262797.2378497192,-253046.01849652088
0.01,0.23,0.37,0.39,-262781.40558795125,-253107.3017827096
0.01,0.23,0.38,0.38,-262752.4299429372,-253153.88918491916
0.01,0.23,0.39,0.37,-262710.3250145549,-253185.76291350988
0.01,0.23,0.4,0.36,-262655.08669441426,-253202.88627380153
0.01,0.24,0.34,0.41,-262649.29553898884,-252844.9859882044
0.01,0.24,0.35,0.4,-262650.59282990725,-252927.02501945422
0.01,0.24,0.36,0.39,-262638.53966050944,-252994.12680254993
0.01,0.24,0.37,0.38,-262613.180520253,-253046.30358627107
0.01,0.24,0.38,0.37,-262574.54076852277,-253083.54779255137
0.01,0.24,0.39,0.36,-262522.6267973827,-253105.83217923087
0.01,0.24,0.4,0.35,-262457.42603157606,-253113.10984005552
0.01,0.25,0.33,0.41,-262483.22725229285,-252700.17790618268
0.01,0.25,0.34,0.4,-262488.6731533516,-252788.4703978901
0.01,0.25,0.35,0.39,-262480.58224891324,-252861.57366897288
0.01,0.25,0.36,0.38,-262459.0120792389,-252919.51197108053
0.01,0.25,0.37,0.37,-262424.00010907825,-252962.28878357823
0.01,0.25,0.38,0.36,-262375.5639900024,-252989.88707587947
0.01,0.25,0.39,0.35,-262313.7016472083,-253002.26939425105
0.01,0.25,0.4,0.34,-262238.3911927142,-252999.37777500795
0.01,0.26,0.32,0.41,-262301.9245614237,-252535.82268357667
0.01,0.26,0.33,0.4,-262311.7252122793,-252630.57618461945
0.01,0.26,0.34,0.39,-262307.7900001333,-252709.87563280354
0.01,0.26,0.35,0.38,-262290.19057617045,-252773.75834276844
0.01,0.26,0.36,0.37,-262258.9774559439,-252822.2397967493
0.01,0.26,0.37,0.36,-262214.1803963896,-252855.31402159095
0.01,0.26,0.38,0.35,-262155.8085822117,-252872.95377513376
0.01,0.26,0.39,0.34,-262083.85062588216,-252875.11054621314
