Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-201253.4898259001,-195047.6708547275
0.01,0.19,0.39,0.41,-201183.56580474818,-194996.96281206654
0.01,0.19,0.4,0.4,-201154.4592049647,-195014.15339718113
0.01,0.2,0.38,0.41,-201098.19233033643,-194928.1915965427
0.01,0.2,0.39,0.4,-201072.3526417834,-194949.8765125706
0.01,0.2,0.4,0.39,-201035.50455205597,-194959.80581539526
0.01,0.21,0.37,0.41,-200997.81824277953,-194841.7797587067
0.01,0.21,0.38,0.4,-200975.38701352663,-194868.09493404892
0.01,0.21,0.39,0.39,-200941.82435036963,-194882.4849631897
0.01,0.21,0.4,0.38,-200897.16435387172,-194884.9566744988
0.01,0.22,0.36,0.41,-200882.83256848998,-194738.09004165774
0.01,0.22,0.37,0.4,-200863.95753364512,-194769.17903520557
0.01,0.22,0.38,0.39,-200833.8204476683,-194788.16561761507
0.01,0.22,0.39,0.38,-200792.46439422082,-194795.0645524206
0.01,0.22,0.4,0.37,-200739.91785266277,-194789.87530208236
0.01,0.23,0.35,0.41,-200753.57102007038,-194617.43187518482
0.01,0.23,0.36,0.4,-200738.40673432391,-194653.44650870116
0.01,0.23,0.37,0.39,-200711.84156317508,-194677.17310165885
0.01,0.23,0.38,0.38,-200673.92820592778,-194688.63498530127
0.01,0.23,0.39,0.37,-200624.70412504018,-194687.83955725317
0.01,0.23,0.4,0.36,-200564.19160941412,-194674.77834480992
0.01,0.24,0.34,0.41,-200610.3211812892,-194480.06656022952
0.01,0.24,0.35,0.4,-200599.02972379563,-194521.16762322988
0.01,0.24,0.36,0.39,-200576.1896247052,-194549.7859468855
0.01,0.24,0.37,0.38,-200541.8639038459,-194565.95413503025
0.01,0.24,0.38,0.37,-200496.09963931845,-194569.68815299775
0.01,0.24,0.39,0.36,-200438.92810312286,-194560.98746324793
0.01,0.24,0.4,0.35,-200370.3647611584,-194539.83502536674
0.01,0.25,0.33,0.41,-200453.3266258708,-194326.21138766373
0.01,0.25,0.34,0.4,-200446.0783881142,-194372.56942527328
0.01,0.25,0.35,0.39,-200427.12404277665,-194406.24016752286
0.01,0.25,0.36,0.38,-200396.53771807576,-194427.26627870253
0.01,0.25,0.37,0.37,-200354.37681263633,-194435.6729967366
0.01,0.25,0.38,0.36,-200300.68221410087,-194431.4683517941
0.01,0.25,0.39,0.35,-200235.47837146686,-194414.64323862645
0.01,0.25,0.4,0.34,-200158.77322274953,-194385.17134422978
0.01,0.26,0.32,0.41,-200282.79015450814,-194156.0428755553
0.01,0.26,0.33,0.4,-200279.7647237356,-194207.83907195443
0.01,0.26,0.34,0.39,-200264.86512617502,-194246.73267631693
0.01,0.26,0.35,0.38,-200238.177481867,-194272.7772968219
0.01,0.26,0.36,0.37,-200199.77029782595,-194286.00823184976
0.01,0.26,0.37,0.36,-200149.6947822185,-194286.44278416014
0.01,0.26,0.38,0.35,-200087.98499968465,-194274.08041621346
0.01,0.26,0.39,0.34,-200014.65787133778,-194248.90275017094
0.01,0.26,0.4,0.33,-199929.71301944347,-194210.8734125734
0.01,0.27,0.31,0.41,-200098.8762865955,-193969.69926065995
0.01,0.27,0.32,0.4,-200100.26343976453,-194027.1264330091
0.01,0.27,0.33,0.39,-200089.59677976795,-194071.42398203906
0.01,0.27,0.34,0.38,-200066.9754124169,-194102.6574537648
0.01,0.27,0.35,0.37,-200032.47983654877,-194120.87309045548
0.01,0.27,0.36,0.36,-199986.17236871974,-194126.09825532656
0.01,0.27,0.37,0.35,-199928.09739409387,-194118.341683429
0.01,0.27,0.38,0.34,-199858.28144942713,-194097.5935646331
0.01,0.27,0.39,0.33,-199776.7331400833,-194063.8254606447
0.01,0.27,0.4,0.32,-199683.44288914494,-194016.9900541162
0.01,0.28,0.3,0.41,-199901.71310656756,-193767.28234500112
0.01,0.28,0.31,0.4,-199907.71393264947,-193830.546065733
0.01,0.28,0.32,0.39,-199901.46858971447,-193880.44027495862
0.01,0.28,0.33,0.38,-199883.09029164744,-193917.04357883104
0.01,0.28,0.34,0.37,-199852.67252305627,-193940.41415745456
0.01,0.28,0.35,0.36,-199810.2895923201,-193950.59031793295
0.01,0.28,0.36,0.35,-199755.99699299264,-193947.59085577243
0.01,0.28,0.37,0.34,-199689.83158235395,-193931.4152334336
0.01,0.28,0.38,0.33,-199611.81158141023,-193902.0435803313
0.01,0.28,0.39,0.32,-199521.93639634238,-193859.43651428292
0.01,0.28,0.4,0.31,-199420.18625710244,-193803.53478010555
0.01,0.29,0.29,0.41,-199691.39353588788,-193548.85876790085
0.01,0.29,0.3,0.4,-199702.22170794228,-193618.1786367719
0.01,0.29,0.31,0.39,-199700.59737358024,-193673.87497697884
0.01,0.29,0.32,0.38,-199686.64912683476,-193716.04072688456
0.01,0.29,0.33,0.37,-199660.48456038762,-193744.7471267299
0.01,0.29,0.34,0.36,-199622.1909683884,-193760.04442145277
0.01,0.29,0.35,0.35,-199571.8358362139,-193761.96235044676
0.01,0.29,0.36,0.34,-199509.4671295335,-193750.51043662702
0.01,0.29,0.37,0.33,-199435.1133898778,-193725.67808199828
0.01,0.29,0.38,0.32,-199348.78363907008,-193687.43447208664
0.01,0.29,0.39,0.31,-199250.46709016064,-193635.72828687401
0.01,0.29,0.4,0.3,-199140.13265766783,-193570.48721103912
