Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-111928.57645513935,-111885.68503328854
0.01,0.19,0.39,0.41,-111863.1781844926,-111807.80458259738
0.01,0.19,0.4,0.4,-111820.57580454506,-111772.05297494159
0.01,0.2,0.38,0.41,-111785.56933240037,-111717.565957835
0.01,0.2,0.39,0.4,-111746.23201868792,-111684.87958228333
0.01,0.2,0.4,0.39,-111698.61307371288,-111644.09002913468
0.01,0.21,0.37,0.41,-111696.06836368942,-111615.26130946922
0.01,0.21,0.38,0.4,-111660.10959254748,-111585.74832242796
0.01,0.21,0.39,0.39,-111615.78134256836,-111548.02746955784
0.01,0.21,0.4,0.38,-111563.1552766054,-111502.14606101316
0.01,0.22,0.36,0.41,-111594.9530698691,-111501.1421438853
0.01,0.22,0.37,0.4,-111562.4900769022,-111474.91590508347
0.01,0.22,0.38,0.39,-111521.56460079436,-111440.3718080533
0.01,0.22,0.39,0.38,-111472.25485972811,-111397.56267034494
0.01,0.22,0.4,0.37,-111414.62914096106,-111346.53068181063
0.01,0.23,0.35,0.41,-111482.46498905792,-111375.42371641406
0.01,0.23,0.36,0.4,-111453.61919926993,-111352.60321827269
0.01,0.23,0.37,0.39,-111416.21233517796,-111321.34913520346
0.01,0.23,0.38,0.38,-111370.32960042381,-111281.7202222824
0.01,0.23,0.39,0.37,-111316.04583759425,-111233.76417675744
0.01,0.23,0.4,0.36,-111253.42557125776,-111177.51768108521
0.01,0.24,0.34,0.41,-111358.81293176727,-111238.2885547175
0.01,0.24,0.35,0.4,-111333.71043888084,-111218.99890166514
0.01,0.24,0.36,0.39,-111299.94221434857,-111191.15372336264
0.01,0.24,0.37,0.38,-111257.60092659107,-111154.81819173114
0.01,0.24,0.38,0.37,-111206.76840365444,-111110.04594154388
0.01,0.24,0.39,0.36,-111147.51572543626,-111056.87916265214
0.01,0.24,0.4,0.35,-111079.90322368563,-110995.34859998514
0.01,0.25,0.33,0.41,-111224.17578167851,-111089.88925950782
0.01,0.25,0.34,0.4,-111202.94788388364,-111074.26220368984
0.01,0.25,0.35,0.39,-111172.94299517371,-111049.95093293885
0.01,0.25,0.36,0.38,-111134.26178449673,-111017.02757176939
0.01,0.25,0.37,0.37,-111086.99354467755,-110975.55217180045
0.01,0.25,0.38,0.36,-111031.21634107301,-110925.57286041054
0.01,0.25,0.39,0.35,-110966.99706076153,-110867.1258899272
0.01,0.25,0.4,0.34,-110894.39136335335,-110800.23558843778
0.01,0.26,0.32,0.41,-111078.70469681168,-110930.35070689881
0.01,0.26,0.33,0.4,-111061.48849750034,-110918.52524897002
0.01,0.26,0.34,0.39,-111035.37684534275,-110897.87953633362
0.01,0.26,0.35,0.38,-111000.47901054891,-110868.49324683129
0.01,0.26,0.36,0.37,-110956.89228647103,-110830.43338467518
0.01,0.26,0.37,0.36,-110904.70220324479,-110783.75449408914
0.01,0.26,0.38,0.35,-110843.98263340778,-110728.4987649273
0.01,0.26,0.39,0.34,-110774.79579189952,-110664.69603267401
0.01,0.26,0.4,0.33,-110697.19213044303,-110592.363672826
0.01,0.27,0.31,0.41,-110922.52480390364,-110759.77174165923
0.01,0.27,0.32,0.4,-110909.46388755416,-110751.89480656134
0.01,0.27,0.33,0.39,-110887.38117788092,-110735.05355101971
0.01,0.27,0.34,0.38,-110856.39522224021,-110709.33588208437
0.01,0.27,0.35,0.37,-110816.6119152463,-110674.8163572929
0.01,0.27,0.36,0.36,-110768.12478756216,-110631.55647346142
0.01,0.27,0.37,0.35,-110711.01517650422,-110579.60483728876
0.01,0.27,0.38,0.34,-110645.35228247124,-110518.99722178593
0.01,0.27,0.39,0.33,-110571.19311251545,-110449.75650984712
0.01,0.27,0.4,0.32,-110488.5823097378,-110371.89252364541
0.01,0.28,0.3,0.41,-110755.73645391875,-110578.22643384793
0.01,0.28,0.31,0.4,-110746.98164926207,-110574.45363392314
0.01,0.28,0.32,0.39,-110729.07006909148,-110561.56365871419
0.01,0.28,0.33,0.38,-110702.13030107594,-110539.65340763917
0.01,0.28,0.34,0.37,-110666.27751697596,-110508.80566744042
0.01,0.28,0.35,0.36,-110621.61384871659,-110469.08948825678
0.01,0.28,0.36,0.35,-110568.22863414155,-110420.56042937741
0.01,0.28,0.37,0.34,-110506.19853842842,-110363.26068065697
0.01,0.28,0.38,0.33,-110435.58755408872,-110297.21906251552
0.01,0.28,0.39,0.32,-110356.44687955258,-110222.4509045237
0.01,0.28,0.4,0.31,-110268.81467341466,-110138.95779964917
0.01,0.29,0.29,0.41,-110578.41608700115,-110385.76494396402
0.01,0.29,0.3,0.4,-110574.12633203134,-110386.26144386004
0.01,0.29,0.31,0.39,-110560.53531263437,-110377.47825955301
0.01,0.29,0.32,0.38,-110537.78252180228,-110359.52214782819
0.01,0.29,0.33,0.37,-110505.99317160822,-110332.48488778945
0.01,0.29,0.34,0.36,-110465.27867112358,-110296.44375877504
0.01,0.29,0.35,0.35,-110415.73695945411,-110251.46187339292
0.01,0.29,0.36,0.34,-110357.45270230468,-110197.58837408478
0.01,0.29,0.37,0.33,-110290.49735696564,-110134.85849811215
0.01,0.29,0.38,0.32,-110214.9291073264,-110063.2935125702
0.01,0.29,0.39,0.31,-110130.7926673108,-109982.90051782332
0.01,0.29,0.4,0.3,-110038.1189478409,-109893.67211446953
0.01,0.3,0.28,0.41,-110390.61673913377,-110182.41403004057
0.01,0.3,0.29,0.4,-110390.96006554124,-110187.35553099721
0.01,0.3,0.3,0.39,-110381.84714745193,-110182.8442003737
