Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-154857.4124591832,-151732.94793861982
0.01,0.19,0.39,0.41,-154788.68622501864,-151664.12761614178
0.01,0.19,0.4,0.4,-154751.73769293592,-151654.22604428252
0.01,0.2,0.38,0.41,-154706.1299735014,-151580.09661418924
0.01,0.2,0.39,0.4,-154672.4474301515,-151573.97482370204
0.01,0.2,0.4,0.39,-154629.119870583,-151557.92363781435
0.01,0.21,0.37,0.41,-154610.12735710223,-151481.21228886794
0.01,0.21,0.38,0.4,-154579.8383146876,-151478.99232229253
0.01,0.21,0.39,0.39,-154539.7988159023,-151466.705849702
0.01,0.21,0.4,0.38,-154490.06174245468,-151444.37994035828
0.01,0.22,0.36,0.41,-154501.01178478202,-151367.78176532887
0.01,0.22,0.37,0.4,-154474.24872865897,-151369.5920819757
0.01,0.22,0.38,0.39,-154437.62340539938,-151361.19226393907
0.01,0.22,0.39,0.38,-154391.1964659253,-151342.61610176123
0.01,0.22,0.4,0.37,-154335.01629354554,-151313.8844215983
0.01,0.23,0.35,0.41,-154379.07188190141,-151240.06738612606
0.01,0.23,0.36,0.4,-154355.97280191697,-151246.0433930866
0.01,0.23,0.37,0.39,-154322.89274207936,-151241.65858730362
0.01,0.23,0.38,0.38,-154279.9006538614,-151226.95401193676
0.01,0.23,0.39,0.37,-154227.0526897856,-151201.9572144223
0.01,0.23,0.4,0.36,-154164.39225658713,-151166.68229963616
0.01,0.24,0.34,0.41,-154244.55584560023,-151098.2910655664
0.01,0.24,0.35,0.4,-154225.26482819303,-151108.57570981214
0.01,0.24,0.36,0.39,-154195.86662416445,-151108.3412217605
0.01,0.24,0.37,0.38,-154156.43907763885,-151097.63648928897
0.01,0.24,0.38,0.37,-154107.04664168958,-151076.49631245108
0.01,0.24,0.39,0.36,-154047.74049226544,-151044.94151740242
0.01,0.24,0.4,0.35,-153978.5585281907,-151002.97895640094
0.01,0.25,0.33,0.41,-154097.67490458148,-150942.63774946824
0.01,0.25,0.34,0.4,-154082.34279458848,-150957.38217964073
0.01,0.25,0.35,0.39,-154056.7691353475,-150961.44085466582
0.01,0.25,0.36,0.38,-154021.0413254414,-150954.87116894583
0.01,0.25,0.37,0.37,-153975.23271059484,-150937.7157672523
0.01,0.25,0.38,0.36,-153919.40276730765,-150910.00272835896
0.01,0.25,0.39,0.35,-153853.59716361764,-150871.74562580502
0.01,0.25,0.4,0.34,-153777.8476983377,-150822.94346713182
0.01,0.26,0.32,0.41,-153938.60603820148,-150773.25813476014
0.01,0.26,0.33,0.4,-153927.39118094227,-150792.62244327995
0.01,0.26,0.34,0.39,-153905.79151386596,-150801.12532842366
0.01,0.26,0.35,0.38,-153873.9047320978,-150798.833433202
0.01,0.26,0.36,0.37,-153831.8137358212,-150785.79790891122
0.01,0.26,0.37,0.36,-153779.5868941871,-150762.054679043
0.01,0.26,0.38,0.35,-153717.27817578442,-150727.62456975417
