Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,1585.1483814273442,-8181.467834713659
0.01,0.19,0.39,0.41,1641.9726902491384,-8096.491910791793
0.01,0.19,0.4,0.4,1695.0099037316713,-7974.043612348017
0.01,0.2,0.38,0.41,1705.3395548413132,-8009.176388041094
0.01,0.2,0.39,0.4,1755.1149308305912,-7887.2931910244315
0.01,0.2,0.4,0.39,1808.4000907368018,-7763.698580783204
0.01,0.21,0.37,0.41,1775.158667130907,-7919.552772002091
0.01,0.21,0.38,0.4,1821.6078548265687,-7798.293442844775
0.01,0.21,0.39,0.39,1871.5930999923253,-7675.331488568323
0.01,0.21,0.4,0.38,1924.9770057669903,-7550.785062500114
0.01,0.22,0.36,0.41,1851.3468966892187,-7827.675535186343
0.01,0.22,0.37,0.4,1894.4060346175156,-7707.100583434299
0.01,0.22,0.38,0.39,1941.0284117024548,-7584.830741732543
0.01,0.22,0.39,0.38,1991.0743243494658,-7460.985422392253
0.01,0.22,0.4,0.37,2044.405821480147,-7335.681588514953
0.01,0.23,0.35,0.41,1933.8275107447344,-7733.595161621707
0.01,0.23,0.36,0.4,1973.4331508532264,-7613.766131147798
0.01,0.23,0.37,0.39,2016.630195843601,-7492.2488147798385
0.01,0.23,0.38,0.38,2063.2765594825973,-7369.1639595944725
0.01,0.23,0.39,0.37,2113.2319839584225,-7244.629787480262
0.01,0.23,0.4,0.36,2166.358032286068,-7118.762002697863
0.01,0.24,0.34,0.41,2022.5295519860406,-7637.35629621506
0.01,0.24,0.35,0.4,2058.618575057788,-7518.335845862145
0.01,0.24,0.36,0.39,2098.3282373611555,-7397.6324945173765
0.01,0.24,0.37,0.38,2141.513985438387,-7275.368408408477
0.01,0.24,0.38,0.37,2188.0331788389976,-7151.663143600452
0.01,0.24,0.39,0.36,2237.7450738445873,-7026.633662166789
0.01,0.24,0.4,0.35,2290.5108234688405,-6900.3943320050985
0.01,0.25,0.33,0.41,2117.3873443070106,-7538.998179204442
0.01,0.25,0.34,0.4,2149.896865416723,-7420.850136758108
0.01,0.25,0.35,0.39,2186.0574232761455,-7301.023275615521
0.01,0.25,0.36,0.38,2225.7219026591692,-7179.64127545195
0.01,0.25,0.37,0.37,2268.7451958908164,-7056.825112098907
0.01,0.25,0.38,0.36,2314.9841766139903,-6932.693083815355
0.01,0.25,0.39,0.35,2364.297691108988,-6807.360820054229
0.01,0.25,0.4,0.34,2416.546566973986,-6680.941272922992
0.01,0.26,0.32,0.41,2218.3401043652957,-7438.556254113184
0.01,0.26,0.33,0.4,2247.20736686732,-7321.345782031793
0.01,0.26,0.34,0.39,2279.7573328175085,-7202.459168641772
0.01,0.26,0.35,0.38,2315.8402192093863,-7082.021712032885
0.01,0.26,0.36,0.37,2355.3083565996258,-6960.155901223066
0.01,0.26,0.37,0.36,2398.0161514066367,-6836.981453837253
0.01,0.26,0.38,0.35,2443.8200672720177,-6712.615334809647
0.01,0.26,0.39,0.34,2492.5786250605593,-6587.171756536524
0.01,0.26,0.4,0.33,2544.1524214987935,-6460.762160488224
0.01,0.27,0.31,0.41,2325.3316425743737,-7336.061306803209
0.01,0.27,0.32,0.4,2350.493898829015,-7219.8549113770505
0.01,0.27,0.33,0.39,2379.3719136843183,-7101.973542796413
0.01,0.27,0.34,0.38,2411.8131170797615,-6982.54423360104
0.01,0.27,0.35,0.37,2447.6671717916547,-6861.691089563354
0.01,0.27,0.36,0.36,2486.7859224700574,-6739.5353404403495
0.01,0.27,0.37,0.35,2529.023365532076,-6616.195370019166
0.01,0.27,0.38,0.34,2574.2356392038027,-6491.78672615775
0.01,0.27,0.39,0.33,2622.2810334783817,-6366.422111054659
0.01,0.27,0.4,0.32,2673.0200202226993,-6240.211351524735
0.01,0.28,0.3,0.41,2438.3101415429,-7231.540846672567
0.01,0.28,0.31,0.4,2459.7045182399847,-7116.406458399842
0.01,0.28,0.32,0.39,2484.849231820702,-6999.596645368039
0.01,0.28,0.33,0.38,2513.58879049406,-6881.240302614817
0.01,0.28,0.34,0.37,2545.77006998232,-6761.463266652103
0.01,0.28,0.35,0.36,2581.242247155177,-6640.388381212837
0.01,0.28,0.36,0.35,2619.856756661388,-6518.135540253178
0.01,0.28,0.37,0.34,2661.4672695025492,-6394.821709242715
0.01,0.28,0.38,0.33,2705.929693033113,-6270.560925247008
0.01,0.28,0.39,0.32,2753.1021923865737,-6145.464275801194
0.01,0.28,0.4,0.31,2802.845233843878,-6019.639856067159
0.01,0.29,0.29,0.41,2557.2280034360197,-7125.019463339026
0.01,0.29,0.3,0.4,2574.7913489460125,-7011.026480677322
0.01,0.29,0.31,0.39,2596.1412854019754,-6895.355886818465
0.01,0.29,0.32,0.38,2621.119246633548,-6778.138580119494
0.01,0.29,0.33,0.37,2649.5691866325215,-6659.502252796557
0.01,0.29,0.34,0.36,2681.337495214544,-6539.571473896895
0.01,0.29,0.35,0.35,2716.2729392480082,-6418.467747114979
0.01,0.29,0.36,0.34,2754.2266279661653,-6296.309544888265
0.01,0.29,0.37,0.33,2795.052001498964,-6173.212319603341
0.01,0.29,0.38,0.32,2838.6048423412094,-6049.288492177075
0.01,0.29,0.39,0.31,2884.7433100404573,-5924.647417723383
0.01,0.29,0.4,0.3,2933.327999968117,-5799.395327448035
0.01,0.3,0.28,0.41,2682.0417605649864,-7016.519364113791
0.01,0.3,0.29,0.4,2695.710471215457,-6903.738676055563
0.01,0.3,0.3,0.39,2713.203876377125,-6789.276336991999
0.01,0.3,0.31,0.38,2734.3601617767413,-6673.2654030394515
0.01,0.3,0.32,0.37,2759.0202070267314,-6555.835558650469
0.01,0.3,0.33,0.36,2787.0274802122694,-6437.11321942151
0.01,0.3,0.34,0.35,2818.227961147699,-6317.221606876508
0.01,0.3,0.35,0.34,2852.470091285909,-6196.280797156848
0.01,0.3,0.36,0.33,2889.6047489884995,-6074.4077448458875
0.01,0.3,0.37,0.32,2929.4852495257833,-5951.716282513866
0.01,0.3,0.38,0.31,2971.967369806616,-5828.317095955076
0.01,0.3,0.39,0.3,3016.909398469018,-5704.317674473486
0.01,0.3,0.4,0.29,3064.172212623771,-5579.822234925963
0.01,0.31,0.27,0.41,2812.712045938551,-6906.060908721702
0.01,0.31,0.28,0.4,2822.4218674483172,-6794.564893897005
0.01,0.31,0.29,0.39,2835.996535103264,-6681.381213829608
0.01,0.31,0.3,0.38,2853.2707879613854,-6566.645251485059
0.01,0.31,0.31,0.37,2874.082257532223,-6450.4888323381165
0.01,0.31,0.32,0.36,2898.2713375215735,-6333.040350104909
0.01,0.31,0.33,0.35,2925.6810860133173,-6214.424861015543
0.01,0.31,0.34,0.34,2956.157157406295,-6094.764149172061
0.01,0.31,0.35,0.33,2989.547762281738,-5974.176764708414
0.01,0.31,0.36,0.32,3025.703654141615,-5852.778035729836
0.01,0.31,0.37,0.31,3064.478142670284,-5730.680054319204
0.01,0.31,0.38,0.3,3105.7271338670703,-5607.991636222965
0.01,0.31,0.39,0.29,3149.3091981093667,-5484.818253134932
0.01,0.31,0.4,0.28,3195.0856679708418,-5361.261935747776
0.01,0.32,0.26,0.41,2949.203622711561,-6793.663140189161
0.01,0.32,0.27,0.4,2954.8894221762357,-6683.5256412599965
0.01,0.32,0.28,0.39,2964.482495503278,-6571.692365441513
0.01,0.32,0.29,0.38,2977.8139070674806,-6458.3012076493
0.01,0.32,0.3,0.37,2994.71784170962,-6343.48629630802
0.01,0.32,0.31,0.36,3015.0314450326186,-6227.378145710137
0.01,0.32,0.32,0.35,3038.5947007409786,-6110.103772765983
0.01,0.32,0.33,0.34,3065.250341503067,-5991.786781460646
0.01,0.32,0.34,0.33,3094.84379084608,-5872.5474173414395
0.01,0.32,0.35,0.32,3127.223134491608,-5752.502593495266
0.01,0.32,0.36,0.31,3162.23912035567,-5631.765888688827
0.01,0.32,0.37,0.3,3199.7451872130937,-5510.447517594404
0.01,0.32,0.38,0.29,3239.5975228025736,-5388.654272270677
0.01,0.32,0.39,0.28,3281.655152964392,-5266.489433272813
0.01,0.32,0.4,0.27,3325.7800643009705,-5144.052647886467
0.01,0.33,0.25,0.41,3091.485473595365,-6679.344309165208
0.01,0.33,0.26,0.4,3093.08097635343,-6570.640582500902
0.01,0.33,0.27,0.39,3098.6287199081835,-6460.230745020422
0.01,0.33,0.28,0.38,3107.9558308172814,-6348.255406586311
0.01,0.33,0.29,0.37,3120.892819238299,-6234.85117487568
0.01,0.33,0.3,0.36,3137.273384105402,-6120.150838866661
0.01,0.33,0.31,0.35,3156.9342610202057,-6004.283511656546
0.01,0.33,0.32,0.34,3179.7151082717137,-5887.374736904801
0.01,0.33,0.33,0.33,3205.4584276566393,-5769.546561987294
0.01,0.33,0.34,0.32,3234.0095178425327,-5650.917579920821
0.01,0.33,0.35,0.31,3265.2164589650483,-5531.602941205992
0.01,0.33,0.36,0.3,3298.9301280306636,-5411.71433589031
0.01,0.33,0.37,0.29,3335.004245553581,-5291.359945325257
0.01,0.33,0.38,0.28,3373.2954547353847,-5170.64436223745
0.01,0.33,0.39,0.27,3413.663435445108,-5049.668476808037
0.01,0.33,0.4,0.26,3455.9710563283757,-4928.529325404196
0.01,0.34,0.24,0.41,3239.5309534964854,-6563.122387397884
0.01,0.34,0.25,0.4,3236.9684378417214,-6455.929029434414
0.01,0.34,0.26,0.39,3238.4059744226624,-6347.016876861302
0.01,0.34,0.27,0.38,3243.6664466922707,-6236.529478050066
0.01,0.34,0.28,0.37,3252.576426990985,-6124.606112376274
0.01,0.34,0.29,0.36,3264.965939569766,-6011.382010388246
0.01,0.34,0.3,0.35,3280.668273361478,-5896.988527071603
0.01,0.34,0.31,0.34,3299.5198385522262,-5781.553273757156
0.01,0.34,0.32,0.33,3321.3600625593685,-5665.200212727456
0.01,0.34,0.33,0.32,3346.031322319979,-5548.049717335594
0.01,0.34,0.34,0.31,3373.378910915658,-5430.218599376565
0.01,0.34,0.35,0.3,3403.2510375725305,-5311.820104481227
0.01,0.34,0.36,0.29,3435.498861036437,-5192.963875379364
0.01,0.34,0.37,0.28,3469.976557284478,-5073.755881950419
0.01,0.34,0.38,0.27,3506.5414235469852,-4954.298315996431
0.01,0.34,0.39,0.26,3545.0540217361963,-4834.6894475755835
0.01,0.34,0.4,0.25,3585.378365674877,-4715.0234384604
0.01,0.35,0.23,0.41,3393.318011077265,-6445.015564765225
0.01,0.35,0.24,0.4,3386.5279520216745,-6339.410418045447
0.01,0.35,0.25,0.39,3383.788957382588,-6232.071310742122
0.01,0.35,0.26,0.38,3384.919311271183,-6123.144977655436
0.01,0.35,0.27,0.37,3389.7413429232092,-6012.773581002191
0.01,0.35,0.28,0.36,3398.0811387724843,-5901.094974222819
0.01,0.35,0.29,0.35,3409.7683130686733,-5788.24291111107
0.01,0.35,0.3,0.34,3424.6358293291314,-5674.347207441621
0.01,0.35,0.31,0.33,3442.519866868315,-5559.533860395506
0.01,0.35,0.32,0.32,3463.259728243941,-5443.9251295568465
0.01,0.35,0.33,0.31,3486.6977848071365,-5327.639581967498
0.01,0.35,0.34,0.3,3512.6794587299723,-5210.792102594201
0.01,0.35,0.35,0.29,3541.0532409779366,-5093.493870515903
0.01,0.35,0.36,0.28,3571.6707457597686,-4975.852300116016
0.01,0.35,0.37,0.27,3604.38680308131,-4857.970945506673
0.01,0.35,0.38,0.26,3639.059592216109,-4739.949365258308
0.01,0.35,0.39,0.25,3675.550820253532,-4621.882943188064
0.01,0.35,0.4,0.24,3713.7259514810394,-4503.862659389748
0.01,0.36,0.22,0.41,3552.829487763834,-6325.0427234497
0.01,0.36,0.23,0.4,3541.740138756001,-6221.104767036677
0.01,0.36,0.24,0.39,3534.7564853688846,-6115.415061278062
0.01,0.36,0.25,0.38,3531.691794090254,-6008.12380502706
0.01,0.36,0.26,0.37,3532.3637948140677,-5899.376276834151
0.01,0.36,0.27,0.36,3536.594330869453,-5789.313151224342
0.01,0.36,0.28,0.35,3544.2090786889394,-5678.070750494386
0.01,0.36,0.29,0.34,3555.037327106673,-5565.781241340358
0.01,0.36,0.3,0.33,3568.9118087683646,-5452.57278323165
0.01,0.36,0.31,0.32,3585.668578128836,-5338.569633539073
