Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-189361.74126346593,-183921.62483255507
0.01,0.19,0.39,0.41,-189291.85983513485,-183865.7201544876
0.01,0.19,0.4,0.4,-189260.6060734274,-183875.97308353535
0.01,0.2,0.38,0.41,-189206.9338125207,-183792.46542636314
0.01,0.2,0.39,0.4,-189178.94673141927,-183807.03404892658
0.01,0.2,0.4,0.39,-189140.2920953824,-183810.30361273742
0.01,0.21,0.37,0.41,-189107.39573882718,-183702.26690062534
0.01,0.21,0.38,0.4,-189082.81337743468,-183721.28367365245
0.01,0.21,0.39,0.39,-189047.44482652145,-183728.83996052467
0.01,0.21,0.4,0.38,-189001.32888193688,-183724.9476498348
0.01,0.22,0.36,0.41,-188993.62073610394,-183595.47341592322
0.01,0.22,0.37,0.4,-188972.58701709035,-183619.07812341006
0.01,0.22,0.38,0.39,-188940.64119294359,-183631.05348887222
0.01,0.22,0.39,0.38,-188897.83073914034,-183631.41903259617
0.01,0.22,0.4,0.37,-188844.18911102766,-183620.17955796595
0.01,0.23,0.35,0.41,-188865.93274514307,-183472.38263023642
0.01,0.23,0.36,0.4,-188848.59808198793,-183500.72299027804
0.01,0.23,0.37,0.39,-188820.2175098177,-183517.2571167147
0.01,0.23,0.38,0.38,-188780.84779097856,-183522.01276876888
0.01,0.23,0.39,0.37,-188730.53106044471,-183515.0023815183
0.01,0.23,0.4,0.36,-188669.29488657633,-183496.2231266534
0.01,0.24,0.34,0.41,-188724.60950305584,-183333.2459978484
0.01,0.24,0.35,0.4,-188711.13147673468,-183366.47833932415
0.01,0.24,0.36,0.39,-188686.46517256048,-183387.71884321704
0.01,0.24,0.37,0.38,-188650.67731643547,-183397.00418437176
0.01,0.24,0.38,0.37,-188603.81933020335,-183394.355036802
0.01,0.24,0.39,0.36,-188545.92746185145,-183379.7762038916
0.01,0.24,0.4,0.35,-188477.0227855102,-183353.2566183945
0.01,0.25,0.33,0.41,-188569.88649731132,-183178.27272337003
0.01,0.25,0.34,0.4,-188560.43061264645,-183216.56274228473
0.01,0.25,0.35,0.39,-188539.63475998383,-183242.66585089266
0.01,0.25,0.36,0.38,-188507.57638513242,-183256.62839601174
0.01,0.25,0.37,0.37,-188464.31687349203,-183258.47996727817
0.01,0.25,0.38,0.36,-188409.90175991945,-183248.23360701214
0.01,0.25,0.39,0.35,-188344.36079817225,-183225.88587966195
0.01,0.25,0.4,0.34,-188267.70789146505,-183191.41680236004
0.01,0.26,0.32,0.41,-188401.96007326827,-183007.63286956953
0.01,0.26,0.33,0.4,-188396.7006070249,-183051.156477164
0.01,0.26,0.34,0.39,-188379.93931323616,-183082.28778488672
0.01,0.26,0.35,0.38,-188351.76520571395,-183101.0836596246
0.01,0.26,0.36,0.37,-188312.2503897648,-183107.58336298697
0.01,0.26,0.37,0.36,-188261.45036380153,-183101.80885291658
0.01,0.26,0.38,0.35,-188199.40416845123,-183083.76493279787
0.01,0.26,0.39,0.34,-188126.1343865557,-183053.43925145728
0.01,0.26,0.4,0.33,-188041.64699406264,-183010.8021540547
0.01,0.27,0.31,0.41,-188220.98982623892,-182821.4597491531
