Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-250572.53109509186,-241313.7234756602
0.01,0.19,0.39,0.41,-250503.97776919056,-241286.2047050886
0.01,0.19,0.4,0.4,-250484.57708491982,-241332.21795579125
0.01,0.2,0.38,0.41,-250418.35555412222,-241237.7702723254
0.01,0.2,0.39,0.4,-250402.22270357964,-241288.9924035749
0.01,0.2,0.4,0.39,-250373.71806690667,-241326.63270381864
0.01,0.21,0.37,0.41,-250316.1784776455,-241168.90791858424
0.01,0.21,0.38,0.4,-250303.46904476787,-241225.488744551
0.01,0.21,0.39,0.39,-250278.24720045266,-241268.28578413004
0.01,0.21,0.4,0.38,-250240.52826411798,-241297.2856247988
0.01,0.22,0.36,0.41,-250197.89118362457,-241080.0360046366
0.01,0.22,0.37,0.4,-250188.7681532714,-241142.1341837925
0.01,0.22,0.38,0.39,-250166.98328779076,-241190.23767535525
0.01,0.22,0.39,0.38,-250132.5621035834,-241224.3422158515
0.01,0.22,0.4,0.37,-250085.5131760605,-241244.42590404532
0.01,0.23,0.35,0.41,-250063.87647190387,-240971.5110475102
0.01,0.23,0.36,0.4,-250058.51096360892,-241039.29481628994
0.01,0.23,0.37,0.39,-250040.32466436236,-241092.86331669608
0.01,0.23,0.38,0.38,-250009.35402129914,-241132.2221680558
0.01,0.23,0.39,0.37,-249965.61780681324,-241157.35861818233
0.01,0.23,0.4,0.36,-249909.1171919731,-241168.2416167905
0.01,0.24,0.34,0.41,-249914.46131288062,-240843.63373477792
0.01,0.24,0.35,0.4,-249913.03339851418,-240917.28172524142
0.01,0.24,0.36,0.39,-249898.61538757538,-240976.4833693127
0.01,0.24,0.37,0.38,-249871.25547559586,-241021.2549867821
0.01,0.24,0.38,0.37,-249830.98336570372,-241051.59370826345
0.01,0.24,0.39,0.36,-249777.8104259501,-241067.47763252057
0.01,0.24,0.4,0.35,-249711.72968930937,-241068.8658264677
0.01,0.25,0.33,0.41,-249749.9216253006,-240696.65370234748
0.01,0.25,0.34,0.4,-249752.62124299383,-240776.35585609908
0.01,0.25,0.35,0.39,-249742.15019477316,-240841.36917427892
0.01,0.25,0.36,0.38,-249718.569338491,-240891.72159106465
0.01,0.25,0.37,0.37,-249681.92012567216,-240927.42093753326
0.01,0.25,0.38,0.36,-249632.2248551019,-240948.4551952494
0.01,0.25,0.39,0.35,-249569.48675673731,-240954.79258017664
0.01,0.25,0.4,0.34,-249493.68990779613,-240946.38145876635
0.01,0.26,0.32,0.41,-249570.48603119323,-240530.7732895354
0.01,0.26,0.33,0.4,-249577.51401012077,-240616.73188251353
0.01,0.26,0.34,0.39,-249571.17846528935,-240687.74671479728
0.01,0.26,0.35,0.38,-249551.55394165497,-240743.85835973395
0.01,0.26,0.36,0.37,-249518.69455306302,-240785.08626278775
0.01,0.26,0.37,0.36,-249472.63434669568,-240811.42910598667
0.01,0.26,0.38,0.35,-249413.38748324403,-240822.86498809487
0.01,0.26,0.39,0.34,-249340.9482369086,-240819.351424613
0.01,0.26,0.4,0.33,-249255.29081522606,-240800.82516760545
0.01,0.27,0.31,0.41,-249376.3387462815,-240346.1504293447
0.01,0.27,0.32,0.4,-249387.90795964043,-240438.58122478824
0.01,0.27,0.33,0.39,-249385.90734991292,-240515.79974549415
0.01,0.27,0.34,0.38,-249370.42630213735,-240577.86035695832
0.01,0.27,0.35,0.37,-249341.53261726277,-240624.79514381458
0.01,0.27,0.36,0.36,-249299.27300479196,-240656.61440247775
0.01,0.27,0.37,0.35,-249243.67337381284,-240673.30693217544
0.01,0.27,0.38,0.34,-249174.7389292599,-240674.8401312088
0.01,0.27,0.39,0.33,-249092.4540756528,-240661.1599006916
0.01,0.27,0.4,0.32,-248996.78212606476,-240632.1903535189
0.01,0.28,0.3,0.41,-249167.62172173514,-240142.90079035057
0.01,0.28,0.31,0.4,-249183.95838861706,-240242.03434066457
0.01,0.28,0.32,0.39,-249186.50418973053,-240325.67221140803
0.01,0.28,0.33,0.38,-249175.36465206847,-240393.8838620966
