Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-30744.54916890669,-37037.45829589898
0.01,0.19,0.39,0.41,-30687.55089779879,-36957.26137017775
0.01,0.19,0.4,0.4,-30636.558914024143,-36863.866177673845
0.01,0.2,0.38,0.41,-30621.985776036538,-36871.1250205442
0.01,0.2,0.39,0.4,-30574.256782877237,-36779.187338236
0.01,0.2,0.4,0.39,-30521.31377460612,-36683.255468424824
0.01,0.21,0.37,0.41,-30548.025596247833,-36779.19411371551
0.01,0.21,0.38,0.4,-30503.641489338177,-36688.79084032182
0.01,0.21,0.39,0.39,-30453.995103041605,-36594.361641519434
0.01,0.21,0.4,0.38,-30399.200357787937,-36495.99936947125
0.01,0.22,0.36,0.41,-30465.82301067589,-36681.594972145715
0.01,0.22,0.37,0.4,-30424.866713679203,-36592.805493308464
0.01,0.22,0.38,0.39,-30378.59744753147,-36499.955778278905
0.01,0.22,0.39,0.38,-30327.132956751553,-36403.141455379075
0.01,0.22,0.4,0.37,-30270.58631248185,-36302.45278278319
0.01,0.23,0.35,0.41,-30375.513611144725,-36578.43690551199
0.01,0.23,0.36,0.4,-30338.069278167517,-36491.3432806928
0.01,0.23,0.37,0.39,-30295.25865837196,-36400.1523335607
0.01,0.23,0.38,0.38,-30247.20352278008,-36304.962671008616
0.01,0.23,0.39,0.37,-30194.020766623322,-36205.86732736598
0.01,0.23,0.4,0.36,-30135.822429595046,-36102.953784650694
0.01,0.24,0.34,0.41,-30277.217588251457,-36469.81382100569
0.01,0.24,0.35,0.4,-30243.370829405572,-36384.50100897005
0.01,0.24,0.36,0.39,-30204.101612608698,-36295.050787533495
0.01,0.24,0.37,0.38,-30159.53596094819,-36201.564967717946
0.01,0.24,0.38,0.37,-30109.794796158672,-36104.13956241209
0.01,0.24,0.39,0.36,-30054.99398202254,-36002.864829769824
0.01,0.24,0.4,0.35,-29995.244324369974,-35897.82527320652
0.01,0.25,0.33,0.41,-30171.041049379077,-36355.805540162524
0.01,0.25,0.34,0.4,-30140.879182898625,-36272.36165029442
0.01,0.25,0.35,0.39,-30105.235581752273,-36184.73701107233
0.01,0.25,0.36,0.38,-30064.24077320965,-36093.03688975928
0.01,0.25,0.37,0.37,-30018.019931070703,-35997.36050338516
0.01,0.25,0.38,0.36,-29966.692945621016,-35897.80108870279
0.01,0.25,0.39,0.35,-29910.374446779795,-35794.44592533759
0.01,0.25,0.4,0.34,-29849.17378095191,-35687.376312642395
0.01,0.26,0.32,0.41,-30057.077054540543,-36236.47885882293
0.01,0.26,0.33,0.4,-30030.689389480576,-36154.99543500448
0.01,0.26,0.34,0.39,-29998.757324758855,-36069.28438638861
0.01,0.26,0.35,0.38,-29961.416174525955,-35979.45471915749
0.01,0.26,0.36,0.37,-29918.79561676409,-35885.60910657692
0.01,0.26,0.37,0.36,-29871.019793824176,-35787.84398953301
0.01,0.26,0.38,0.35,-29818.207362128596,-35686.2496262362
0.01,0.26,0.39,0.34,-29760.47149217126,-35580.910092224294
0.01,0.26,0.4,0.33,-29697.91981881475,-35471.90323066462
0.01,0.27,0.31,0.41,-29935.40641373321,-36111.88832154801
0.01,0.27,0.32,0.4,-29912.884568032947,-36032.460658045085
0.01,0.27,0.33,0.39,-29884.75195133091,-35948.7546410434
0.01,0.27,0.34,0.38,-29851.14898272184,-35860.88333364336
0.01,0.27,0.35,0.37,-29812.210127068898,-35768.95314799707
0.01,0.27,0.36,0.36,-29768.06403090526,-35673.06398120572
0.01,0.27,0.37,0.35,-29718.83360271866,-35573.30929560288
