Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-166155.1043828566,-162254.21966643695
0.01,0.19,0.39,0.41,-166085.8155355815,-162189.1157784531
0.01,0.19,0.4,0.4,-166050.63531006678,-162185.8252107948
0.01,0.2,0.38,0.41,-166002.29181197693,-162108.08808700411
0.01,0.2,0.39,0.4,-165970.37780581941,-162108.75593808855
0.01,0.2,0.4,0.39,-165928.4779372044,-162099.03783932183
0.01,0.21,0.37,0.41,-165904.93316142462,-162011.51024740646
0.01,0.21,0.38,0.4,-165876.4163957936,-162016.26203125334
0.01,0.21,0.39,0.39,-165837.8039294086,-162010.48264903843
0.01,0.21,0.4,0.38,-165789.1439486916,-161994.19410980077
0.01,0.22,0.36,0.41,-165794.08689724837,-161899.70328934208
0.01,0.22,0.37,0.4,-165769.10366993808,-161908.67124015695
0.01,0.22,0.38,0.39,-165733.9082294924,-161906.95598717468
0.01,0.22,0.39,0.38,-165688.55683501821,-161894.58656418548
0.01,0.22,0.4,0.37,-165633.09289383705,-161871.57845642147
0.01,0.23,0.35,0.41,-165670.0534166193,-161772.94132717297
0.01,0.23,0.36,0.4,-165648.7458586876,-161786.26495571522
0.01,0.23,0.37,0.39,-165617.10234451536,-161788.7459645601
0.01,0.23,0.38,0.38,-165575.18776253329,-161780.42096888824
0.01,0.23,0.39,0.37,-165523.05359274775,-161761.31247868296
0.01,0.23,0.4,0.36,-165460.73796243558,-161731.42895442512
0.01,0.24,0.34,0.41,-165533.09076333442,-161631.4561218653
0.01,0.24,0.35,0.4,-165515.60745939883,-161649.2828357423
0.01,0.24,0.36,0.39,-165487.656605098,-161656.0995155601
0.01,0.24,0.37,0.38,-165449.3123384822,-161651.95097818525
0.01,0.24,0.38,0.37,-165400.6347688816,-161636.86731499128
0.01,0.24,0.39,0.36,-165341.6700962578,-161610.86401120995
0.01,0.24,0.4,0.35,-165272.4506112038,-161573.94194593123
0.01,0.25,0.33,0.41,-165383.418252352,-161475.44070550374
0.01,0.25,0.34,0.4,-165369.91493391135,-161497.92650247857
0.01,0.25,0.35,0.39,-165345.80392663946,-161509.22615925284
0.01,0.25,0.36,0.38,-165311.16931152783,-161509.39338770066
0.01,0.25,0.37,0.37,-165266.08044752627,-161498.46648088188
0.01,0.25,0.38,0.36,-165210.59216392023,-161476.46850541895
0.01,0.25,0.39,0.35,-165144.74482398748,-161443.40736515413
0.01,0.25,0.4,0.34,-165068.56426134135,-161399.27573749243
0.01,0.26,0.32,0.41,-165221.21931836268,-161305.05223028408
0.01,0.26,0.33,0.4,-165211.85964121833,-161332.36247571767
