Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-122301.02879702198,-121504.45265776769
0.01,0.19,0.39,0.41,-122234.74926538403,-121428.05609307445
0.01,0.19,0.4,0.4,-122193.35317993711,-121398.76513762616
0.01,0.2,0.38,0.41,-122155.85429332382,-121338.58822586885
0.01,0.2,0.39,0.4,-122117.72350473642,-121312.54113979414
0.01,0.2,0.4,0.39,-122070.97023864744,-121277.9343216714
0.01,0.21,0.37,0.41,-122064.67864257906,-121236.35750997554
0.01,0.21,0.38,0.4,-122029.93013615339,-121213.66592126137
0.01,0.21,0.39,0.39,-121986.46690650714,-121182.30180667178
0.01,0.21,0.4,0.38,-121934.35592120742,-121142.30741613795
0.01,0.22,0.36,0.41,-121961.51400902202,-121121.62935661341
0.01,0.22,0.37,0.4,-121930.26883280052,-121102.41039988429
0.01,0.22,0.38,0.39,-121890.21122743917,-121074.40051581297
0.01,0.22,0.39,0.38,-121841.41501930538,-121037.64776519766
0.01,0.22,0.4,0.37,-121783.94351966958,-120992.18899696656
0.01,0.23,0.35,0.41,-121846.61370258176,-120994.63079291703
0.01,0.23,0.36,0.4,-121818.9974227791,-120979.00756426141
0.01,0.23,0.37,0.39,-121782.46509228511,-120954.4689437239
0.01,0.23,0.38,0.38,-121737.09785169942,-120921.06925840143
0.01,0.23,0.39,0.37,-121682.96587109275,-120878.85116808901
0.01,0.23,0.4,0.36,-121620.12839557517,-120827.84571084804
0.01,0.24,0.34,0.41,-121720.19638042671,-120855.5541932114
0.01,0.24,0.35,0.4,-121696.33958894454,-120843.65625769335
0.01,0.24,0.36,0.39,-121663.45670207262,-120822.71189516339
0.01,0.24,0.37,0.38,-121621.63668215752,-120792.78220653173
0.01,0.24,0.38,0.37,-121570.95701350212,-120753.91611789168
0.01,0.24,0.39,0.36,-121511.48380001687,-120706.15047817066
0.01,0.24,0.4,0.35,-121443.27176521963,-120649.51005913013
0.01,0.25,0.33,0.41,-121582.44901249373,-120704.56024449442
0.01,0.25,0.34,0.4,-121562.48789418374,-120696.5242033856
0.01,0.25,0.35,0.39,-121533.38364537548,-120679.30356228982
0.01,0.25,0.36,0.38,-121495.23361742563,-120652.96676319363
0.01,0.25,0.37,0.37,-121448.12311638404,-120617.5695060041
0.01,0.25,0.38,0.36,-121392.12556039327,-120573.15490594853
0.01,0.25,0.39,0.35,-121327.30253177155,-120519.75354565725
0.01,0.25,0.4,0.34,-121253.7037249299,-120457.38342308103
0.01,0.26,0.32,0.41,-121433.52921213685,-120541.78027802713
0.01,0.26,0.33,0.4,-121417.606180873,-120537.75040492478
0.01,0.26,0.34,0.39,-121392.41535752016,-120524.3899849463
0.01,0.26,0.35,0.38,-121358.06311851715,-120501.77543722575
0.01,0.26,0.36,0.37,-121314.64315892401,-120469.96980274633
0.01,0.26,0.37,0.36,-121262.2367186302,-120429.02297054882
0.01,0.26,0.38,0.35,-121200.91269418623,-120378.97178956284
0.01,0.26,0.39,0.34,-121130.72763880326,-120319.84006860705
0.01,0.26,0.4,0.33,-121051.72565052212,-120251.63846455808
0.01,0.27,0.31,0.41,-121273.5670301752,-120367.31806248616
0.01,0.27,0.32,0.4,-121261.83144449565,-120367.44701887039
0.01,0.27,0.33,0.39,-121240.6950630121,-120358.09099194453
0.01,0.27,0.34,0.38,-121210.27400288775,-120339.33509362984
0.01,0.27,0.35,0.37,-121170.67098426465,-120311.25034205579
0.01,0.27,0.36,0.36,-121121.97563604252,-120273.89396733839
0.01,0.27,0.37,0.35,-121064.26467651871,-120227.3095922204
0.01,0.27,0.38,0.34,-120997.60197313661,-120171.52729181976
0.01,0.27,0.39,0.33,-120922.03848273744,-120106.56353388133
0.01,0.27,0.4,0.32,-120837.61207091981,-120032.4209981371
0.01,0.28,0.3,0.41,-121102.66628425688,-120181.25113422271
0.01,0.28,0.31,0.4,-121095.27525542266,-120185.70077747304
0.01,0.28,0.32,0.39,-121078.34127688663,-120180.5017033947
0.01,0.28,0.33,0.38,-121051.99101459477,-120165.7485247495
0.01,0.28,0.34,0.37,-121016.33692941349,-120141.52095245125
0.01,0.28,0.35,0.36,-120971.47767532461,-120107.88419376007
0.01,0.28,0.36,0.35,-120917.49835963563,-120064.88921249248
0.01,0.28,0.37,0.34,-120854.47067153694,-120012.5728575786
0.01,0.28,0.38,0.33,-120782.45288210186,-119950.95786306207
0.01,0.28,0.39,0.32,-120701.48971572937,-119880.0527195431
0.01,0.28,0.4,0.31,-120611.61208993383,-119799.85141396867
0.01,0.29,0.29,0.41,-120920.90547469098,-119983.63171325185
0.01,0.29,0.3,0.4,-120918.0247825793,-119992.5740124566
0.01,0.29,0.31,0.39,-120905.44892079182,-119991.69364686504
0.01,0.29,0.32,0.38,-120883.31601995067,-119981.09564596385
0.01,0.29,0.33,0.37,-120851.7490897051,-119960.86922150216
0.01,0.29,0.34,0.36,-120810.85652476124,-119931.08827352022
0.01,0.29,0.35,0.35,-120760.73245750874,-119891.81174297542
0.01,0.29,0.36,0.34,-120701.45696614806,-119843.0838198691
0.01,0.29,0.37,0.33,-120633.09614349957,-119784.93401205537
0.01,0.29,0.38,0.32,-120555.70202819438,-119717.37707643207
0.01,0.29,0.39,0.31,-120469.31239654716,-119640.4128108138
0.01,0.29,0.4,0.3,-120373.9504099295,-119554.02570130584
0.01,0.3,0.28,0.41,-120728.33832091,-119774.48724006065
0.01,0.3,0.29,0.4,-120730.14345635548,-119788.10531824148
0.01,0.3,0.3,0.39,-120722.09009373374,-119791.71552841077
0.01,0.3,0.31,0.38,-120704.3288706843,-119785.4343591063
0.01,0.3,0.32,0.37,-120676.99426153264,-119769.36143879346
0.01,0.3,0.33,0.36,-120640.20520976772,-119743.58016834082
0.01,0.3,0.34,0.35,-120594.06558850342,-119708.15818148015
0.01,0.3,0.35,0.34,-120538.66450102245,-119663.14764534896
0.01,0.3,0.36,0.33,-120474.07642915517,-119608.58540886891
0.01,0.3,0.37,0.32,-120400.36123327975,-119544.49300274547
0.01,0.3,0.38,0.31,-120317.56400394304,-119470.8764910888
0.01,0.3,0.39,0.3,-120225.71476131692,-119387.7261708704
0.01,0.3,0.4,0.29,-120124.82799473668,-119295.0161114621
0.01,0.31,0.27,0.41,-120524.99393816142,-119553.82055268969
0.01,0.31,0.28,0.4,-120531.67129435114,-119572.30987804284
0.01,0.31,0.29,0.39,-120528.31452426974,-119580.59368508623
0.01,0.31,0.3,0.38,-120515.08796396929,-119578.80111278118
0.01,0.31,0.31,0.37,-120492.13859479253,-119567.0432486313
0.01,0.31,0.32,0.36,-120459.59682490471,-119545.41391021055
0.01,0.31,0.33,0.35,-120417.57707620252,-119513.99023206982
0.01,0.31,0.34,0.34,-120366.17819269294,-119472.83307411337
0.01,0.31,0.35,0.33,-120305.48368128858,-119421.98726239278
0.01,0.31,0.36,0.32,-120235.56179137758,-119361.48166867599
0.01,0.31,0.37,0.31,-120156.46543525385,-119291.32913087653
0.01,0.31,0.38,0.3,-120068.23194732142,-119211.52621225824
0.01,0.31,0.39,0.29,-119970.88267571593,-119122.05279305669
0.01,0.31,0.4,0.28,-119864.42239539536,-119022.87148357072
0.01,0.32,0.26,0.41,-120310.8766608162,-119321.60971047361
0.01,0.32,0.27,0.4,-120322.62490137646,-119345.17946426095
0.01,0.32,0.28,0.39,-120324.14971956248,-119358.33223435168
0.01,0.32,0.29,0.38,-120315.63051792554,-119361.21117818427
0.01,0.32,0.3,0.37,-120297.22797622098,-119353.94003366739
0.01,0.32,0.31,0.36,-120269.08500963126,-119336.62407739744
0.01,0.32,0.32,0.35,-120231.32750472939,-119309.35086061724
0.01,0.32,0.33,0.34,-120184.06485430516,-119272.1907440388
0.01,0.32,0.34,0.33,-120127.39030599536,-119225.19724647074
0.01,0.32,0.35,0.32,-120061.38113427047,-119168.40721680269
0.01,0.32,0.36,0.31,-119986.09864043436,-119101.84083400392
0.01,0.32,0.37,0.3,-119901.5879806381,-119025.50143513593
0.01,0.32,0.38,0.29,-119807.87781724951,-118939.37516672192
0.01,0.32,0.39,0.28,-119704.97978402687,-118843.43044992062
0.01,0.32,0.4,0.27,-119592.8877501557,-118737.61724456373
0.01,0.33,0.25,0.41,-120085.9655059062,-119077.80745805179
0.01,0.33,0.26,0.4,-120102.9971437061,-119106.6821131627
0.01,0.33,0.27,0.39,-120109.60081632587,-119124.91292540455
0.01,0.33,0.28,0.38,-120105.97257161955,-119132.65864945015
0.01,0.33,0.29,0.37,-120092.28815584173,-119130.0570416601
0.01,0.33,0.3,0.36,-120068.7041825874,-119117.22602901408
0.01,0.33,0.31,0.35,-120035.35904544685,-119094.26462175851
0.01,0.33,0.32,0.34,-119992.37360188611,-119061.25359728116
0.01,0.33,0.33,0.33,-119939.85164832482,-119018.2559751844
0.01,0.33,0.34,0.32,-119877.88019995774,-118965.317297103
0.01,0.33,0.35,0.31,-119806.52958317092,-118902.46571911772
0.01,0.33,0.36,0.3,-119725.85334312549,-118829.71191933706
0.01,0.33,0.37,0.29,-119635.88796393629,-118747.04881807444
0.01,0.33,0.38,0.28,-119536.65239359377,-118654.45110276989
0.01,0.33,0.39,0.27,-119428.14736008369,-118551.87454410965
0.01,0.33,0.4,0.26,-119310.35445873237,-118439.25508337187
0.01,0.34,0.24,0.41,-119850.2132572923,-118822.3403100491
0.01,0.34,0.25,0.4,-119872.75648616918,-118856.76146243382
0.01,0.34,0.26,0.39,-119884.65012863182,-118880.29468740306
0.01,0.34,0.27,0.38,-119886.10870956244,-118893.11616852632
0.01,0.34,0.28,0.37,-119877.32462051846,-118895.37925936519
0.01,0.34,0.29,0.36,-119858.46954159402,-118887.21590532223
0.01,0.34,0.3,0.35,-119829.69556479204,-118868.73776700182
0.01,0.34,0.31,0.34,-119791.13605459582,-118840.03708077339
0.01,0.34,0.32,0.33,-119742.90627210129,-118801.18728289595
0.01,0.34,0.33,0.32,-119685.10378128591,-118752.24341578146
0.01,0.34,0.34,0.31,-119617.80864926007,-118693.24232824142
0.01,0.34,0.35,0.3,-119541.08344626715,-118624.20267548338
0.01,0.34,0.36,0.29,-119454.97304543198,-118545.1247188569
0.01,0.34,0.37,0.28,-119359.50421649203,-118455.98991958295
0.01,0.34,0.38,0.27,-119254.68500166528,-118356.7603146209
0.01,0.34,0.39,0.26,-119140.50385507826,-118247.37765609632
0.01,0.34,0.4,0.25,-119016.92851939448,-118127.76228792989
0.01,0.35,0.23,0.41,-119603.54513630044,-118555.10722226297
0.01,0.35,0.24,0.4,-119631.84596848227,-118595.33572800894
0.01,0.35,0.25,0.39,-119649.25637716506,-118624.41285916883
0.01,0.35,0.26,0.38,-119656.01150168179,-118642.53436554798
0.01,0.35,0.27,0.37,-119652.32221061793,-118649.87102956178
0.01,0.35,0.28,0.36,-119638.37682937054,-118646.5703937762
0.01,0.35,0.29,0.35,-119614.3425164417,-118632.75813718564
0.01,0.35,0.3,0.34,-119580.36633472722,-118608.53914648853
0.01,0.35,0.31,0.33,-119536.5760523404,-118573.99831690034
0.01,0.35,0.32,0.32,-119483.08069793494,-118529.20110746754
0.01,0.35,0.33,0.31,-119419.97088740404,-118474.19386775952
0.01,0.35,0.34,0.3,-119347.3189317153,-118409.00394569755
0.01,0.35,0.35,0.29,-119265.17872907581,-118333.63957971548
0.01,0.35,0.36,0.28,-119173.5854382331,-118248.0895720574
0.01,0.35,0.37,0.27,-119072.55492315211,-118152.32273345215
0.01,0.35,0.38,0.26,-118962.08295219163,-118046.28708228837
0.01,0.35,0.39,0.25,-118842.14412681534,-117929.9087733251
0.01,0.35,0.4,0.24,-118712.69050529861,-117803.09072139885
0.01,0.36,0.22,0.41,-119345.85700767385,-118275.97779820433
0.01,0.36,0.23,0.4,-119380.18178346916,-118322.29628282151
0.01,0.36,0.24,0.39,-119403.35357314014,-118357.17807358119
0.01,0.36,0.25,0.38,-119415.63064016016,-118380.84099610621
0.01,0.36,0.26,0.37,-119417.24446756559,-118393.47539899402
0.01,0.36,0.27,0.36,-119408.40185778156,-118395.24625361696
0.01,0.36,0.28,0.35,-119389.28661461292,-118386.29483609094
0.01,0.36,0.29,0.34,-119360.0608674548,-118366.74005146761
