Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-38546.9677094833,-44150.87767260069
0.01,0.19,0.39,0.41,-38489.27612346158,-44070.82642235118
0.01,0.19,0.4,0.4,-38438.95156467687,-43983.65869907832
0.01,0.2,0.38,0.41,-38422.61282780872,-43984.122367312564
0.01,0.2,0.39,0.4,-38375.55149026377,-43898.59078576252
0.01,0.2,0.4,0.39,-38322.935291368034,-43808.60846224358
0.01,0.21,0.37,0.41,-38347.1659120636,-43890.92691272508
0.01,0.21,0.38,0.4,-38303.4532003595,-43807.11184891611
0.01,0.21,0.39,0.39,-38254.132964885124,-43718.80619965145
0.01,0.21,0.4,0.38,-38199.31443078402,-43626.09775687054
0.01,0.22,0.36,0.41,-38263.10193283234,-43791.38030305194
0.01,0.22,0.37,0.4,-38222.82458307032,-43709.36491753336
0.01,0.22,0.38,0.39,-38176.884318158394,-43622.8162267037
0.01,0.22,0.39,0.38,-38125.39449080025,-43531.825102131275
0.01,0.22,0.4,0.37,-38068.4631961511,-43436.47646106401
0.01,0.23,0.35,0.41,-38170.56825374944,-43685.60361952764
0.01,0.23,0.36,0.4,-38133.81456124686,-43605.47407540825
0.01,0.23,0.37,0.39,-38091.339605538626,-43520.76540200975
0.01,0.23,0.38,0.38,-38043.261094604524,-43431.57177824381
0.01,0.23,0.39,0.37,-37989.69125115994,-43337.981200984796
0.01,0.23,0.4,0.36,-37930.73683543989,-43240.07550785343
0.01,0.24,0.34,0.41,-38069.694912069186,-43573.700616220485
0.01,0.24,0.35,0.4,-38036.55498511684,-43495.546332877246
0.01,0.24,0.36,0.39,-37997.632236469624,-43412.76373837424
0.01,0.24,0.37,0.38,-37953.04898314082,-43325.45057272138
0.01,0.24,0.38,0.37,-37902.92180312187,-43233.698140129076
0.01,0.24,0.39,0.36,-37847.361584208,-43137.59135783251
0.01,0.24,0.4,0.35,-37786.47352399813,-43037.208756089334
0.01,0.25,0.33,0.41,-37960.59610142994,-43455.759202058645
0.01,0.25,0.34,0.4,-37931.1621449237,-43379.673138267404
0.01,0.25,0.35,0.39,-37895.88031416831,-43298.90594002844
0.01,0.25,0.36,0.38,-37854.877818842135,-43213.55919207844
0.01,0.25,0.37,0.37,-37808.275845970085,-43123.72775973364
0.01,0.25,0.38,0.36,-37756.189638623444,-43029.49986759007
0.01,0.25,0.39,0.35,-37698.72852196135,-42930.95712556606
0.01,0.25,0.4,0.34,-37635.99587718924,-42828.17450286256
0.01,0.26,0.32,0.41,-37843.37133717876,-43331.85262121043
0.01,0.26,0.33,0.4,-37817.737970655566,-43257.93159391919
0.01,0.26,0.34,0.39,-37786.1878652279,-43179.27264949476
0.01,0.26,0.35,0.38,-37748.85344127515,-43095.98153542373
0.01,0.26,0.36,0.37,-37705.86077848732,-43008.15696174586
0.01,0.26,0.37,0.36,-37657.32972896917,-42915.89071415807
0.01,0.26,0.38,0.35,-37603.37397315592,-42819.26770993087
0.01,0.26,0.39,0.34,-37544.101019813184,-42718.36599791021
0.01,0.26,0.4,0.33,-37479.61215012138,-42613.25670260496
0.01,0.27,0.31,0.41,-37718.10635339518,-43202.04033578772
0.01,0.27,0.32,0.4,-37696.37096885416,-43130.38537657825
0.01,0.27,0.33,0.39,-37668.64581083113,-43053.93140051612
0.01,0.27,0.34,0.38,-37635.06886822769,-42972.788675618875
0.01,0.27,0.35,0.37,-37595.7714314349,-42887.060074655674
0.01,0.27,0.36,0.36,-37550.87824522257,-42796.841228033954
0.01,0.27,0.37,0.35,-37500.50759905941,-42702.22061411877
0.01,0.27,0.38,0.34,-37444.77135698712,-42603.27958910798
0.01,0.27,0.39,0.33,-37383.77492774627,-42500.09235716093
0.01,0.27,0.4,0.32,-37317.617174456216,-42392.72588008301
0.01,0.28,0.3,0.41,-37584.87376757328,-43066.36870484442
0.01,0.28,0.31,0.4,-37567.1369335049,-42997.08546329117
0.01,0.28,0.32,0.39,-37543.33271742564,-42922.93738440067
0.01,0.28,0.33,0.38,-37513.60508078845,-42844.03966066885
0.01,0.28,0.34,0.37,-37478.09088250657,-42760.49968535003
0.01,0.28,0.35,0.36,-37436.92007805088,-42672.41725154672
0.01,0.28,0.36,0.35,-37390.21584955514,-42579.884682310265
0.01,0.28,0.37,0.34,-37338.094670094535,-42482.98689491778
0.01,0.28,0.38,0.33,-37280.66630368574,-42381.801400873155
0.01,0.28,0.39,0.32,-37218.03374100825,-42276.39824163213
0.01,0.28,0.4,0.31,-37150.29306929923,-42166.83985850367
0.01,0.29,0.29,0.41,-37443.73353853757,-42924.8714448115
0.01,0.29,0.3,0.4,-37430.099457870485,-42858.0706450839
0.01,0.29,0.31,0.39,-37410.31535476549,-42786.334009286504
0.01,0.29,0.32,0.38,-37384.53162117366,-42709.78211219431
0.01,0.29,0.33,0.37,-37352.89108855962,-42628.52727145618
0.01,0.29,0.34,0.36,-37315.52928091645,-42542.67380059278
0.01,0.29,0.35,0.35,-37272.57459107895,-42452.31818529827
0.01,0.29,0.36,0.34,-37224.14838478736,-42357.549187496465
0.01,0.29,0.37,0.33,-37170.365035091854,-42258.44787974224
0.01,0.29,0.38,0.32,-37111.33188794801,-42155.08761081759
0.01,0.29,0.39,0.31,-37047.149158153145,-42047.53390167232
0.01,0.29,0.4,0.3,-36977.90975303306,-41935.844269119014
0.01,0.3,0.28,0.41,-37294.73323467434,-42777.56990325972
0.01,0.3,0.29,0.4,-37285.310265945816,-42713.367863426734
0.01,0.3,0.3,0.39,-37269.6490812837,-42644.1532900542
0.01,0.3,0.31,0.38,-37247.90702430774,-42570.05266112869
0.01,0.3,0.32,0.37,-37220.23335698065,-42491.18367644131
0.01,0.3,0.33,0.36,-37186.769575846934,-42407.65557379426
0.01,0.3,0.34,0.35,-37147.64964226353,-42319.56935920743
0.01,0.3,0.35,0.34,-37103.00013267178,-42227.01795717296
0.01,0.3,0.36,0.33,-37052.94031278691,-42130.08628483356
0.01,0.3,0.37,0.32,-36997.58213759794,-42028.85125197689
0.01,0.3,0.38,0.31,-36937.030177178334,-41923.381686845656
0.01,0.3,0.39,0.3,-36871.38146641402,-41813.73818587041
0.01,0.3,0.4,0.29,-36800.72527477265,-41699.97288344844
0.01,0.31,0.27,0.41,-37137.90812227731,-42624.473153482664
0.01,0.31,0.28,0.4,-37132.8093753309,-42562.99237874804
0.01,0.31,0.29,0.39,-37121.37807018895,-42496.416079526134
0.01,0.31,0.3,0.38,-37103.77909783746,-42424.87723234881
0.01,0.31,0.31,0.37,-37080.16867190785,-42348.49944001212
0.01,0.31,0.32,0.36,-37050.69471944268,-42267.39732228628
0.01,0.31,0.33,0.35,-37015.497174350334,-42181.67680932645
0.01,0.31,0.34,0.34,-36974.708181594295,-42091.43534582871
0.01,0.31,0.35,0.33,-36928.45221759085,-41996.76201140341
0.01,0.31,0.36,0.32,-36876.84612999412,-41897.73756034381
0.01,0.31,0.37,0.31,-36819.99909791099,-41794.43438183206
0.01,0.31,0.38,0.3,-36758.01251150352,-41686.91637953929
0.01,0.31,0.39,0.29,-36690.97976779953,-41575.238767440496
0.01,0.31,0.4,0.28,-36618.98597723799,-41459.447776370755
0.01,0.32,0.26,0.41,-36973.28107720195,-42465.5779130664
0.01,0.32,0.27,0.4,-36972.625097230804,-42406.94777668151
0.01,0.32,0.28,0.39,-36965.53538399257,-42343.1321486368
0.01,0.32,0.29,0.38,-36952.185059882846,-42274.27118752306
0.01,0.32,0.3,0.37,-36932.73788589932,-42200.49499438661
0.01,0.32,0.31,0.36,-36907.348740753216,-42121.92409175022
0.01,0.32,0.32,0.35,-36876.163988851025,-42038.66979152176
0.01,0.32,0.33,0.34,-36839.32174770764,-41950.83446234965
0.01,0.32,0.34,0.33,-36796.952062261495,-41858.51170389326
0.01,0.32,0.35,0.32,-36749.1769908678,-41761.78643278302
0.01,0.32,0.36,0.31,-36696.110605298505,-41660.73488259741
0.01,0.32,0.37,0.3,-36637.85890474912,-41555.42451785611
0.01,0.32,0.38,0.29,-36574.51964152357,-41445.91385969967
0.01,0.32,0.39,0.28,-36506.18205362101,-41332.25221847945
0.01,0.32,0.4,0.27,-36432.92649675415,-41214.47932578701
0.01,0.33,0.25,0.41,-36800.86231663419,-42300.8682832278
0.01,0.33,0.26,0.4,-36804.77387358289,-42245.22581202574
0.01,0.33,0.27,0.39,-36802.14289998152,-42184.30011807094
0.01,0.33,0.28,0.38,-36793.151539037106,-42118.23933067271
