Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-3763.4890609869844,-12826.435464290356
0.01,0.19,0.39,0.41,-3707.1354700446486,-12743.161975672052
0.01,0.19,0.4,0.4,-3654.3779109033158,-12626.169846275772
0.01,0.2,0.38,0.41,-3643.834464355139,-12656.81190395632
0.01,0.2,0.39,0.4,-3594.33897333148,-12540.5629705937
0.01,0.2,0.4,0.39,-3540.992852151912,-12422.14606814337
0.01,0.21,0.37,0.41,-3573.692648902403,-12567.455281866803
0.01,0.21,0.38,0.4,-3527.527085763565,-12452.012322983494
0.01,0.21,0.39,0.39,-3477.4802207712714,-12334.402078894915
0.01,0.21,0.4,0.38,-3423.6847555004297,-12214.737642671118
0.01,0.22,0.36,0.41,-3496.807058478046,-12475.162109879022
0.01,0.22,0.37,0.4,-3454.039097135693,-12360.589411046127
0.01,0.22,0.38,0.39,-3407.35795063782,-12243.848752679663
0.01,0.22,0.39,0.38,-3356.8989307638517,-12125.054790178881
0.01,0.22,0.4,0.37,-3302.7950126049896,-12004.319145506977
0.01,0.23,0.35,0.41,-3413.2661976640784,-12379.994620536463
0.01,0.23,0.36,0.4,-3373.9634273814686,-12266.357827376138
0.01,0.23,0.37,0.39,-3330.714275829681,-12150.550940217114
0.01,0.23,0.38,0.38,-3283.6567661997337,-12032.690277955786
0.01,0.23,0.39,0.37,-3232.9264837873448,-11912.889024822302
0.01,0.23,0.4,0.36,-3178.6565861191975,-11791.257240495885
0.01,0.24,0.34,0.41,-3323.1508704290586,-12282.007325626451
0.01,0.24,0.35,0.4,-3287.3809086021092,-12169.373555345466
0.01,0.24,0.36,0.39,-3247.629943799666,-12054.565982589913
0.01,0.24,0.37,0.38,-3204.0388234054026,-11937.702702471068
0.01,0.24,0.38,0.37,-3156.7458441266353,-11818.898562529852
0.01,0.24,0.39,0.36,-3105.886773694562,-11698.265184404192
0.01,0.24,0.4,0.35,-3051.5948508642714,-11575.910963770677
0.01,0.25,0.33,0.41,-3226.5348391344883,-12181.247656264622
0.01,0.25,0.34,0.4,-3194.3654573502517,-12069.685610875877
0.01,0.25,0.35,0.39,-3158.178899233068,-11955.944357976656
0.01,0.25,0.36,0.38,-3118.1189624177505,-11840.143894873316
0.01,0.25,0.37,0.37,-3074.326767804267,-11722.400845516382
0.01,0.25,0.38,0.36,-3026.940794535414,-11602.82849549023
0.01,0.25,0.39,0.35,-2976.096891570797,-11481.536803614294
0.01,0.25,0.4,0.34,-2921.9282661128464,-11358.63239041371
0.01,0.26,0.32,0.41,-3123.485342456834,-12077.756866678343
0.01,0.26,0.33,0.4,-3094.9846078428454,-11967.336993245375
0.01,0.26,0.34,0.39,-3062.428830537974,-11854.730670530707
0.01,0.26,0.35,0.38,-3025.964899777517,-11740.059939054461
0.01,0.26,0.36,0.37,-2985.736886712578,-11623.443324879607
0.01,0.26,0.37,0.36,-2941.88609467861,-11504.995889873406
0.01,0.26,0.38,0.35,-2894.5510840468137,-11384.829256578922
0.01,0.26,0.39,0.34,-2843.867672224136,-11263.051608263402
0.01,0.26,0.4,0.33,-2789.9689088018713,-11139.76766414614
0.01,0.27,0.31,0.41,-3014.063494064784,-11971.570065867078
0.01,0.27,0.32,0.4,-2989.2999283206427,-11862.36468069472
0.01,0.27,0.33,0.39,-2960.4416014956178,-11750.963613432239
0.01,0.27,0.34,0.38,-2927.6386534570725,-11637.491105820509
0.01,0.27,0.35,0.37,-2891.0382469565943,-11522.067726611034
0.01,0.27,0.36,0.36,-2850.7846355807706,-11404.810439449911
0.01,0.27,0.37,0.35,-2807.0192038934592,-11285.832643000762
0.01,0.27,0.38,0.34,-2759.8804807132033,-11165.24418424826
0.01,0.27,0.39,0.33,-2709.504125835812,-11043.151345292845
0.01,0.27,0.4,0.32,-2656.022889892101,-10919.656803329412
0.01,0.28,0.3,0.41,-2898.324578033474,-11862.716879932834
0.01,0.28,0.31,0.4,-2877.3673369994044,-11754.800330954797
0.01,0.28,0.32,0.39,-2852.2735848938282,-11644.67670411402
0.01,0.28,0.33,0.38,-2823.1968917847303,-11532.472619843396
0.01,0.28,0.34,0.37,-2790.2876710557634,-11418.310846941176
0.01,0.28,0.35,0.36,-2753.693267894001,-11302.310390862835
0.01,0.28,0.36,0.35,-2713.558017114433,-11184.58655142972
0.01,0.28,0.37,0.34,-2670.0232717282615,-11065.250951354301
0.01,0.28,0.38,0.33,-2623.2274029428922,-10944.41153626629
0.01,0.28,0.39,0.32,-2573.3057715936543,-10822.172546239222
0.01,0.28,0.4,0.31,-2520.390670319295,-10698.634458132237
0.01,0.29,0.29,0.41,-2776.3182523627015,-11751.22172015874
0.01,0.29,0.3,0.4,-2759.237329551425,-11644.6705560138
0.01,0.29,0.31,0.39,-2737.9759105455196,-11535.898563626093
0.01,0.29,0.32,0.38,-2712.691199145471,-11425.034941910151
0.01,0.29,0.33,0.37,-2683.537038935551,-11312.20483620669
0.01,0.29,0.34,0.36,-2650.6640257348995,-11197.52945030136
0.01,0.29,0.35,0.35,-2614.2195859589942,-11081.126124484073
0.01,0.29,0.36,0.34,-2574.3480228701656,-10963.108381612175
0.01,0.29,0.37,0.33,-2531.19053186848,-10843.5859423184
0.01,0.29,0.38,0.32,-2484.8851852008647,-10722.66470973561
0.01,0.29,0.39,0.31,-2435.5668857105784,-10600.446723358498
0.01,0.29,0.4,0.3,-2383.3672884757475,-10477.030080892788
0.01,0.3,0.28,0.41,-2648.088668190802,-11637.104043989131
0.01,0.3,0.29,0.4,-2634.955126418889,-11531.997197829147
0.01,0.3,0.3,0.39,-2617.5946365653767,-11424.653204268818
0.01,0.3,0.31,0.38,-2596.1682677945987,-11315.204066234304
0.01,0.3,0.32,0.37,-2570.8334974233276,-11203.777504041283
0.01,0.3,0.33,0.36,-2541.744351471323,-11090.497095121213
0.01,0.3,0.34,0.35,-2509.0515069861294,-10975.482375725958
