Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-213327.1908477886,-206357.0549354134
0.01,0.19,0.39,0.41,-213257.38427571382,-206311.82513325493
0.01,0.19,0.4,0.4,-213230.54086768645,-206336.06302345273
0.01,0.2,0.38,0.41,-213171.72339140243,-206247.8190356606
0.01,0.2,0.39,0.4,-213148.14712522997,-206276.72989417458
0.01,0.2,0.4,0.39,-213113.22161164402,-206293.42858503468
0.01,0.21,0.37,0.41,-213070.67333188007,-206165.47549107112
0.01,0.21,0.38,0.4,-213050.5092645989,-206199.19871775014
0.01,0.21,0.39,0.39,-213018.86851903025,-206220.5321381812
0.01,0.21,0.4,0.38,-212975.7805004511,-206229.47752051085
0.01,0.22,0.36,0.41,-212954.63702792214,-206065.1711470203
0.01,0.22,0.37,0.4,-212938.03670707816,-206103.85407565074
0.01,0.22,0.38,0.39,-212909.82438910325,-206129.96152402923
0.01,0.22,0.39,0.38,-212870.03876584375,-206143.5034989381
0.01,0.22,0.4,0.37,-212818.70334067242,-206144.47412191352
0.01,0.23,0.35,0.41,-212823.96196394178,-205947.2272051064
0.01,0.23,0.36,0.4,-212811.0840854361,-205991.02576111926
0.01,0.23,0.37,0.39,-212786.4503451408,-206022.05446961964
0.01,0.23,0.38,0.38,-212750.1093793174,-206040.33223387197
0.01,0.23,0.39,0.37,-212702.09397790814,-206045.86141404815
0.01,0.23,0.4,0.36,-212642.42115035647,-206038.6278930483
0.01,0.24,0.34,0.41,-212678.9455703646,-205811.91481292917
0.01,0.24,0.35,0.4,-212669.9567115307,-205860.9942464759
0.01,0.24,0.36,0.39,-212649.05884735612,-205897.100038916
0.01,0.24,0.37,0.38,-212616.31129159467,-205920.26072307248
0.01,0.24,0.38,0.37,-212571.75677860394,-205930.48755559907
0.01,0.24,0.39,0.36,-212515.42160439678,-205927.77465803153
0.01,0.24,0.4,0.35,-212447.31562664112,-205912.0990167881
0.01,0.25,0.33,0.41,-212519.83950717034,-205659.4593476205
0.01,0.25,0.34,0.4,-212514.91494615402,-205713.9950529463
0.01,0.25,0.35,0.39,-212497.91813797364,-205755.34307785917
0.01,0.25,0.36,0.38,-212468.91989325534,-205783.5424041211
0.01,0.25,0.37,0.37,-212427.973623849,-205798.61391794443
0.01,0.25,0.38,0.36,-212375.11557018274,-205800.56063734725
0.01,0.25,0.39,0.35,-212310.364876494,-205789.36778738388
0.01,0.25,0.4,0.34,-212233.7235155986,-205765.00272491432
0.01,0.26,0.32,0.41,-212346.85303038597,-205490.0437825538
0.01,0.26,0.33,0.4,-212346.17766491632,-205550.22221677875
0.01,0.26,0.34,0.39,-212333.25579341594,-205596.98776680251
0.01,0.26,0.35,0.38,-212308.17064215426,-205630.39078209622
0.01,0.26,0.36,0.37,-212270.9871198534,-205650.4625978112
0.01,0.26,0.37,0.36,-212221.7521444339,-205657.21586152416
0.01,0.26,0.38,0.35,-212160.49480454854,-205650.64469477156
0.01,0.26,0.39,0.34,-212087.2263595824,-205630.72469304936
0.01,0.26,0.4,0.33,-212001.94007811896,-205597.4127642792
0.01,0.27,0.31,0.41,-212160.1555834881,-205303.81127854067
0.01,0.27,0.32,0.4,-212163.92496458246,-205369.83099534558
0.01,0.27,0.33,0.39,-212155.26153003107,-205422.2004259762
0.01,0.27,0.34,0.38,-212134.2619554518,-205460.9823213178
0.01,0.27,0.35,0.37,-212101.00356520995,-205486.21938423073
0.01,0.27,0.36,0.36,-212055.54477409838,-205497.93471123034
0.01,0.27,0.37,0.35,-211997.92534826213,-205496.13205341168
0.01,0.27,0.38,0.34,-211928.16649150176,-205480.79590275272
0.01,0.27,0.39,0.33,-211846.27075897,-205451.8914058113
0.01,0.27,0.4,0.32,-211752.22179624715,-205409.36410280035
0.01,0.28,0.3,0.41,-211959.87871759498,-205100.86710422882
0.01,0.28,0.31,0.4,-211968.3002167548,-205172.93992104116
0.01,0.28,0.32,0.39,-211964.08937270986,-205231.11168433007
