Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-82338.16829402371,-84465.15335674249
0.01,0.19,0.39,0.41,-82275.61612186424,-84385.18765643891
0.01,0.19,0.4,0.4,-82229.69506410253,-84330.0120379767
0.01,0.2,0.38,0.41,-82202.06794518966,-84295.00318637886
0.01,0.2,0.39,0.4,-82159.4112617898,-84242.35688864456
0.01,0.2,0.4,0.39,-82109.49548584428,-84182.97707666732
0.01,0.21,0.37,0.41,-82117.79333809378,-84194.84316926773
0.01,0.21,0.38,0.4,-82078.5039784908,-84144.8239334951
0.01,0.21,0.39,0.39,-82031.88087320075,-84087.99081203339
0.01,0.21,0.4,0.38,-81978.00977093575,-84024.40629570613
0.01,0.22,0.36,0.41,-82023.02837899722,-84084.91739569754
0.01,0.22,0.37,0.4,-81987.21214148193,-84037.62725692845
0.01,0.22,0.38,0.39,-81943.98325882235,-83983.43846727279
0.01,0.22,0.39,0.38,-81893.43312464643,-83922.41811453685
0.01,0.22,0.4,0.37,-81835.64495417337,-83854.62441134527
0.01,0.23,0.35,0.41,-81917.97929058703,-83965.40580560644
0.01,0.23,0.36,0.4,-81885.74517653085,-83920.95144526097
0.01,0.23,0.37,0.39,-81846.01491733256,-83869.5089208507
0.01,0.23,0.38,0.38,-81798.8859057607,-83811.15027138902
0.01,0.23,0.39,0.37,-81744.44700195032,-83745.93830648292
0.01,0.23,0.4,0.36,-81682.77856884476,-83673.92664177463
0.01,0.24,0.34,0.41,-81802.82534340314,-83836.4613866513
0.01,0.24,0.35,0.4,-81774.28595199178,-83794.95452725331
0.01,0.24,0.36,0.39,-81738.1619201662,-83746.36484789038
0.01,0.24,0.37,0.38,-81694.55703456924,-83690.76973351643
0.01,0.24,0.38,0.37,-81643.56615447652,-83628.23694494429
0.01,0.24,0.39,0.36,-81585.27528774724,-83558.82469479654
0.01,0.24,0.4,0.35,-81519.76159082417,-83482.58164750485
0.01,0.25,0.33,0.41,-81677.72116236085,-83698.2124806039
0.01,0.25,0.34,0.4,-81652.99313179897,-83659.77032690006
0.01,0.25,0.35,0.39,-81620.5865290718,-83614.14511342799
0.01,0.25,0.36,0.38,-81580.61197590115,-83561.42001228628
0.01,0.25,0.37,0.37,-81533.17072543692,-83501.66813022959
0.01,0.25,0.38,0.36,-81478.3547846789,-83434.9526310906
0.01,0.25,0.39,0.35,-81416.24695498572,-83361.3267762891
0.01,0.25,0.4,0.34,-81346.92079156585,-83280.83388432345
0.01,0.26,0.32,0.41,-81542.79853947775,-83550.76459864952
0.01,0.26,0.33,0.4,-81522.00304171175,-83515.51033245794
0.01,0.26,0.34,0.39,-81493.42910882767,-83472.96668807686
0.01,0.26,0.35,0.38,-81457.19469234903,-83423.22311946999
0.01,0.26,0.36,0.37,-81413.4078805047,-83366.35852053607
0.01,0.26,0.37,0.36,-81362.16707416877,-83302.44140104874
0.01,0.26,0.38,0.35,-81303.56107384046,-83231.52997363651
0.01,0.26,0.39,0.34,-81237.66907964407,-83153.67215378318
0.01,0.26,0.4,0.33,-81164.56060434908,-83068.90547284829
0.01,0.27,0.31,0.41,-81398.16782924427,-83394.20181431137
0.01,0.27,0.32,0.4,-81381.43112657274,-83362.26515090001
0.01,0.27,0.33,0.39,-81356.80963801811,-83322.92615568079
0.01,0.27,0.34,0.38,-81324.42920151618,-83276.28112108631
0.01,0.27,0.35,0.37,-81284.40523509745,-83222.41522287697
0.01,0.27,0.36,0.36,-81236.84297471504,-83161.40275796826
0.01,0.27,0.37,0.35,-81181.83761474241,-83093.30728492858
0.01,0.27,0.38,0.34,-81119.47435444448,-83018.18167045031
0.01,0.27,0.39,0.33,-81049.82835150659,-82936.06804287943
0.01,0.27,0.4,0.32,-80972.96458153655,-82846.99765171832
0.01,0.28,0.3,0.41,-81243.91898257338,-83228.58779984563
0.01,0.28,0.31,0.4,-81231.3730561371,-83200.10561630774
0.01,0.28,0.32,0.39,-81210.82887675054,-83164.10088370755
0.01,0.28,0.33,0.38,-81182.42079725166,-83120.67736142252
0.01,0.28,0.34,0.37,-81146.27212208325,-83069.92706367411
0.01,0.28,0.35,0.36,-81102.49541700003,-83011.93056923358
0.01,0.28,0.36,0.35,-81051.19271145451,-82946.75722380703
0.01,0.28,0.37,0.34,-80992.45559858588,-82874.46524002418
0.01,0.28,0.38,0.33,-80926.36523522006,-82795.10169743834
0.01,0.28,0.39,0.32,-80852.99224188068,-82708.70244253821
0.01,0.28,0.4,0.31,-80772.3965004034,-82615.29188636325
0.01,0.29,0.29,0.41,-81080.12225911436,-83053.96653898533
0.01,0.29,0.3,0.4,-81071.90552125785,-83029.08358637137
0.01,0.29,0.31,0.39,-81055.56923472015,-82996.54989152229
0.01,0.29,0.32,0.38,-81031.25697960294,-82956.477393097
0.01,0.29,0.33,0.37,-80999.10057525118,-82908.96557224743
0.01,0.29,0.34,0.36,-80959.22047383188,-82854.10184619452
0.01,0.29,0.35,0.35,-80911.72603459918,-82791.96184249123
0.01,0.29,0.36,0.34,-80856.71568577124,-82722.60956089816
0.01,0.29,0.37,0.33,-80794.2769780483,-82646.09742690113
0.01,0.29,0.38,0.32,-80724.48653109462,-82562.4662381931
0.01,0.29,0.39,0.31,-80647.40987166157,-82471.74500279823
0.01,0.29,0.4,0.3,-80563.10115932263,-82373.95066480798
0.01,0.3,0.28,0.41,-80906.82864450141,-82870.3627451337
0.01,0.3,0.29,0.4,-80903.08674948267,-82849.23245884241
0.01,0.3,0.3,0.39,-80891.09537067835,-82820.3144506314
