Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-91943.1534139058,-93358.48752968838
0.01,0.19,0.39,0.41,-91879.60690475331,-93278.89937125001
0.01,0.19,0.4,0.4,-91834.74353930367,-93230.19740805225
0.01,0.2,0.38,0.41,-91804.6595321089,-93188.37930378267
0.01,0.2,0.39,0.4,-91763.06077164556,-93142.38529833585
0.01,0.2,0.4,0.39,-91713.86207239753,-93089.20122419445
0.01,0.21,0.37,0.41,-91718.59716697742,-93087.18686343892
0.01,0.21,0.38,0.4,-91680.36946990213,-93044.00202880293
0.01,0.21,0.39,0.39,-91634.46278275638,-92993.53864843122
0.01,0.21,0.4,0.38,-91580.9581589661,-92935.85415292432
0.01,0.22,0.36,0.41,-91621.66979214233,-92975.54574638141
0.01,0.22,0.37,0.4,-91586.92276918386,-92935.27589249403
0.01,0.22,0.38,0.39,-91544.4131550822,-92887.63431860607
0.01,0.22,0.39,0.38,-91494.22795165019,-92832.68335577173
0.01,0.22,0.4,0.37,-91436.44539811982,-92770.47587569153
0.01,0.23,0.35,0.41,-91514.09540210121,-92853.64766434146
0.01,0.23,0.36,0.4,-91482.9421958418,-92816.40357628942
0.01,0.23,0.37,0.39,-91443.93786805295,-92771.689517218
0.01,0.23,0.38,0.38,-91397.175748461,-92719.57309816145
0.01,0.23,0.39,0.37,-91342.74002468491,-92660.11209127368
0.01,0.23,0.4,0.36,-91280.70578020971,-92593.35446780169
0.01,0.24,0.34,0.41,-91396.06311405115,-92721.6554516481
0.01,0.24,0.35,0.4,-91368.62082185547,-92687.5533125897
0.01,0.24,0.36,0.39,-91333.23352550165,-92645.87745180471
0.01,0.24,0.37,0.38,-91290.00130555852,-92596.70118323603
0.01,0.24,0.38,0.37,-91239.01467755852,-92540.08755901677
0.01,0.24,0.39,0.36,-91180.3546733736,-92476.0894508457
0.01,0.24,0.4,0.35,-91114.09284121537,-92404.74954998727
0.01,0.25,0.33,0.41,-91267.73563916278,-92579.70553640637
0.01,0.25,0.34,0.4,-91244.12578589725,-92548.86740022595
0.01,0.25,0.35,0.39,-91212.47122088319,-92510.34581922166
0.01,0.25,0.36,0.38,-91172.87924825109,-92464.2202829641
0.01,0.25,0.37,0.37,-91125.44713437589,-92410.55954649602
