Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-46695.0987909517,-51609.34524553572
0.01,0.19,0.39,0.41,-46636.566736644396,-51529.307673312884
0.01,0.19,0.4,0.4,-46586.98883795871,-51448.44706907449
0.01,0.2,0.38,0.41,-46568.65811372913,-51441.90402657167
0.01,0.2,0.39,0.4,-46522.34366690765,-51362.85819811157
0.01,0.2,0.4,0.39,-46470.13351249638,-51278.905073223206
0.01,0.21,0.37,0.41,-46491.57730865582,-51347.312145531585
0.01,0.21,0.38,0.4,-46448.615227266375,-51270.1649436495
0.01,0.21,0.39,0.39,-46399.700377723304,-51188.062496264916
0.01,0.21,0.4,0.38,-46344.937289883856,-51101.08753509399
0.01,0.22,0.36,0.41,-46405.50478239345,-51245.68618910261
0.01,0.22,0.37,0.4,-46365.98561497522,-51170.52454925002
0.01,0.22,0.38,0.39,-46320.45358640819,-51090.35653496971
0.01,0.22,0.39,0.38,-46269.01765758093,-51005.26826107714
0.01,0.22,0.4,0.37,-46211.780947661435,-50915.33930389483
0.01,0.23,0.35,0.41,-46310.59967038705,-51137.1590101851
0.01,0.23,0.36,0.4,-46274.61585346818,-51064.07319912687
0.01,0.23,0.37,0.39,-46232.55579695637,-50985.92645182869
0.01,0.23,0.38,0.38,-46184.53314578916,-50902.808519221915
0.01,0.23,0.39,0.37,-46130.65545016584,-50814.80236072678
0.01,0.23,0.4,0.36,-46071.024190863136,-50721.98416956774
0.01,0.24,0.34,0.41,-46207.00185654803,-51021.8442096301
0.01,0.24,0.35,0.4,-46174.64799659831,-50950.92810736526
0.01,0.24,0.36,0.39,-46136.15095120986,-50874.892792180515
0.01,0.24,0.37,0.38,-46091.62933132185,-50793.831933074245
0.01,0.24,0.38,0.37,-46041.19537118259,-50707.83212557784
0.01,0.24,0.39,0.36,-45984.954982600066,-50616.97294600553
0.01,0.24,0.4,0.35,-45923.007754941995,-50521.32695145282
0.01,0.25,0.33,0.41,-46094.83362077013,-50899.8377832709
0.01,0.25,0.34,0.4,-46066.20680934719,-50831.18919785022
0.01,0.25,0.35,0.39,-46031.36598409189,-50757.359092905615
0.01,0.25,0.36,0.38,-45990.43503709124,-50678.44537064667
0.01,0.25,0.37,0.37,-45943.53116859519,-50594.538544676754
0.01,0.25,0.38,0.36,-45890.76497446072,-50505.72182743756
0.01,0.25,0.39,0.35,-45832.24047508684,-50412.07115914469
0.01,0.25,0.4,0.34,-45768.05508647962,-50313.65517885392
0.01,0.26,0.32,0.41,-45974.200933734515,-50771.2194266063
0.01,0.26,0.33,0.4,-45949.4011008572,-50704.94044798929
0.01,0.26,0.34,0.39,-45918.31218983267,-50633.413259977024
0.01,0.26,0.35,0.38,-45881.06372726919,-50556.74035135512
0.01,0.26,0.36,0.37,-45837.7781945645,-50475.01646893604
0.01,0.26,0.37,0.36,-45788.57115357723,-50388.32874323021
0.01,0.26,0.38,0.35,-45733.551308755406,-50296.756750575
0.01,0.26,0.39,0.34,-45672.820507136355,-50200.37251313601
0.01,0.26,0.4,0.33,-45606.47367621835,-50099.24043678058
0.01,0.27,0.31,0.41,-45845.19445360291,-50636.05352209795
0.01,0.27,0.32,0.4,-45824.32476533021,-50572.25091883999
0.01,0.27,0.33,0.39,-45797.08630109531,-50503.12863559017
0.01,0.27,0.34,0.38,-45763.6146196066,-50428.794145262924
0.01,0.27,0.35,0.37,-45724.03783678306,-50349.34678123336
0.01,0.27,0.36,0.36,-45678.47679563116,-50264.87790721242
0.01,0.27,0.37,0.35,-45627.04516660054,-50175.47101760207
0.01,0.27,0.38,0.34,-45569.84948077754,-50081.20177068951
0.01,0.27,0.39,0.33,-45506.98909669173,-49982.13795545546
0.01,0.27,0.4,0.32,-45438.55609996011,-49878.33939122162
0.01,0.28,0.3,0.41,-45707.89026455316,-50494.38988709907
0.01,0.28,0.31,0.4,-45691.05757190564,-50433.17555483291
0.01,0.28,0.32,0.39,-45667.77132305936,-50366.56484252728
0.01,0.28,0.33,0.38,-45638.173557744274,-50294.670656093134
0.01,0.28,0.34,0.37,-45602.3984239795,-50217.59731300434
0.01,0.28,0.35,0.36,-45560.57239929275,-50135.44076351198
0.01,0.28,0.36,0.35,-45512.8144352815,-50048.288735202615
0.01,0.28,0.37,0.34,-45459.23602903372,-49956.22080441801
0.01,0.28,0.38,0.33,-45399.941223127964,-49859.30839625565
0.01,0.28,0.39,0.32,-45335.02653421251,-49757.61471315058
0.01,0.28,0.4,0.31,-45264.58080844427,-49651.19459031834
0.01,0.29,0.29,0.41,-45562.35038557475,-50346.26428430267
0.01,0.29,0.3,0.4,-45549.66573336422,-50287.755753686084
0.01,0.29,0.31,0.39,-45530.43715346711,-50223.768405006056
0.01,0.29,0.32,0.38,-45504.81367546464,-50154.42108590397
0.01,0.29,0.33,0.37,-45472.9359283975,-50079.82354679515
0.01,0.29,0.34,0.36,-45434.93642189353,-50000.076721985526
0.01,0.29,0.35,0.35,-45390.93974207142,-49915.27292556748
0.01,0.29,0.36,0.34,-45341.062667167,-49825.49596704142
0.01,0.29,0.37,0.33,-45285.41420576045,-49730.82118954086
0.01,0.29,0.38,0.32,-45224.09555854907,-49631.31543160557
0.01,0.29,0.39,0.31,-45157.200002721,-49527.03691155819
0.01,0.29,0.4,0.3,-45084.81269605158,-49418.035031605956
0.01,0.3,0.28,0.41,-45408.623068503526,-50191.69872340552
0.01,0.3,0.29,0.4,-45400.2022744114,-50136.01973797537
0.01,0.3,0.3,0.39,-45385.14101081527,-50074.77317985011
