Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-289231.7227872944,-277686.9390858138
0.01,0.19,0.39,0.41,-289165.6663025749,-277678.6114134988
0.01,0.19,0.4,0.4,-289154.60994364467,-277747.2892188989
0.01,0.2,0.38,0.41,-289081.3263517581,-277647.22871312505
0.01,0.2,0.39,0.4,-289073.5385184292,-277721.6513113228
0.01,0.2,0.4,0.39,-289052.35636025306,-277781.12241516303
0.01,0.21,0.37,0.41,-288979.26585333544,-277593.3276178512
0.01,0.21,0.38,0.4,-288974.9126564451,-277673.6552373186
0.01,0.21,0.39,0.39,-288957.0113149672,-277738.80509025854
0.01,0.21,0.4,0.38,-288925.5630624608,-277788.74858347926
0.01,0.22,0.36,0.41,-288859.9711642599,-277517.3682016262
0.01,0.22,0.37,0.4,-288859.2270259814,-277603.77082552033
0.01,0.22,0.38,0.39,-288844.77121457877,-277674.75955448026
0.01,0.22,0.39,0.38,-288816.61607100745,-277730.3158547768
0.01,0.22,0.4,0.37,-288774.75524271687,-277770.40180240205
0.01,0.23,0.35,0.41,-288723.8603998074,-277419.7422969077
0.01,0.23,0.36,0.4,-288726.9088633068,-277512.40047266736
0.01,0.23,0.37,0.39,-288716.0716066929,-277589.3979591923
0.01,0.23,0.38,0.38,-288691.3728879737,-277650.7270918725
0.01,0.23,0.39,0.37,-288652.817461995,-277696.3600061626
0.01,0.23,0.4,0.36,-288600.39066145016,-277726.2487185921
0.01,0.24,0.34,0.41,-288571.29007034644,-277300.7801312414
0.01,0.24,0.35,0.4,-288578.3247020312,-277399.8858728348
0.01,0.24,0.36,0.39,-288571.28814591205,-277483.0725627505
0.01,0.24,0.37,0.38,-288550.2174792983,-277550.34430774604
0.01,0.24,0.38,0.37,-288515.1293740885,-277601.6841123954
0.01,0.24,0.39,0.36,-288466.02027037233,-277637.0540526904
0.01,0.24,0.4,0.35,-288402.86637643044,-277656.3952760411
0.01,0.25,0.33,0.41,-288402.5603533892,-277160.75559930666
0.01,0.25,0.34,0.4,-288413.7857513756,-277266.51339569653
0.01,0.25,0.35,0.39,-288410.74206469854,-277356.081201356
0.01,0.25,0.36,0.38,-288393.4801984363,-277429.47590287833
0.01,0.25,0.37,0.37,-288362.0296437888,-277486.69227620505
0.01,0.25,0.38,0.36,-288316.39875789837,-277527.7032664476
0.01,0.25,0.39,0.35,-288256.5748564418,-277552.4600804788
0.01,0.25,0.4,0.34,-288182.52412103856,-277560.89209434116
0.01,0.26,0.32,0.41,-288217.91923696717,-276999.89040638733
0.01,0.26,0.33,0.4,-288233.5521618756,-277112.51835233
0.01,0.26,0.34,0.39,-288234.704545297,-277208.67166108557
0.01,0.26,0.35,0.38,-288221.4422508737,-277288.38112987764
0.01,0.26,0.36,0.37,-288193.8085975746,-277351.6543144833
0.01,0.26,0.37,0.36,-288151.8247618432,-277398.4759313817
0.01,0.26,0.38,0.35,-288095.4899764092,-277428.8080565649
0.01,0.26,0.39,0.34,-288024.78153028816,-277442.5901255382
0.01,0.26,0.4,0.33,-287939.65456997044,-277439.7387345089
0.01,0.27,0.31,0.41,-288017.56570905,-276818.35725770006
0.01,0.27,0.32,0.4,-288037.83635625726,-276938.08832598967
0.01,0.27,0.33,0.39,-288043.40017293737,-277041.04513098
0.01,0.27,0.34,0.38,-288034.33925354946,-277127.27365277737
0.01,0.27,0.35,0.37,-288010.711875626,-277196.79535778903
0.01,0.27,0.36,0.36,-287972.55304337974,-277249.6077423294
0.01,0.27,0.37,0.35,-287919.8748088416,-277285.68465375854
0.01,0.27,0.38,0.34,-287852.66637808,-277304.97639670083
0.01,0.27,0.39,0.33,-287770.8940049812,-277307.4096268264
0.01,0.27,0.4,0.32,-287674.50067011185,-277292.88702971244
0.01,0.28,0.3,0.41,-287801.6521208588,-276616.28222179785
