Co,Cr,Fe,Ni,G_LIQ,G_FCC
0.01,0.18,0.4,0.41,-237992.96248895407,-229496.58322529055
0.01,0.19,0.39,0.41,-237923.84676281572,-229462.97557679593
0.01,0.19,0.4,0.4,-237901.86029881766,-229501.62763014628
0.01,0.2,0.38,0.41,-237838.06700648714,-229409.1653882341
0.01,0.2,0.39,0.4,-237819.3481455928,-229452.84768471814
0.01,0.2,0.4,0.39,-237788.5983448071,-229483.4047046471
0.01,0.21,0.37,0.41,-237736.120950816,-229335.6241033466
0.01,0.21,0.38,0.4,-237720.8217679954,-229384.48298569716
0.01,0.21,0.39,0.39,-237693.3554181206,-229420.02274170663
0.01,0.21,0.4,0.38,-237653.74191589598,-229442.23501907542
0.01,0.22,0.36,0.41,-237618.43933530347,-229242.75617850092
0.01,0.22,0.37,0.4,-237606.71900297827,-229296.94653029472
0.01,0.22,0.38,0.39,-237582.68678152442,-229337.61526360907
0.01,0.22,0.39,0.38,-237546.37257915793,-229364.76287172257
0.01,0.22,0.4,0.37,-237497.78994727714,-229378.37279432334
0.01,0.23,0.35,0.41,-237485.3931879837,-229130.90635891477
0.01,0.23,0.36,0.4,-237477.4186844767,-229190.5923129186
0.01,0.23,0.37,0.39,-237456.97836640544,-229236.54480550255
0.01,0.23,0.38,0.38,-237424.11274394707,-229268.77388397284
0.01,0.23,0.39,0.37,-237378.84526201166,-229287.27183359562
0.01,0.23,0.4,0.36,-237321.18237112588,-229292.0132484808
0.01,0.24,0.34,0.41,-237337.29963259652,-229000.36548550366
0.01,0.24,0.35,0.4,-237333.24653159917,-229065.72121314125
0.01,0.24,0.36,0.39,-237316.56369777332,-229117.1214961485
0.01,0.24,0.37,0.38,-237287.30303272477,-229154.5867253266
0.01,0.24,0.38,0.37,-237245.49858332466,-229178.11873996936
0.01,0.24,0.39,0.36,-237191.16669361142,-229187.7009797647
0.01,0.24,0.4,0.35,-237124.30600479065,-229183.2984847946
0.01,0.25,0.33,0.41,-237174.42650163255,-228851.37510791703
0.01,0.25,0.34,0.4,-237174.47985461415,-228922.5857016732
0.01,0.25,0.35,0.39,-237161.72868126517,-228979.60784491047
0.01,0.25,0.36,0.38,-237136.2371570292,-229022.47315433464
0.01,0.25,0.37,0.37,-237098.05072020608,-229051.1938127346
0.01,0.25,0.38,0.36,-237047.1963167954,-229065.762813826
0.01,0.25,0.39,0.35,-236983.6824815143,-229066.15404326943
0.01,0.25,0.4,0.34,-236907.49925677993,-229052.3221976523
0.01,0.26,0.32,0.41,-236996.99596178698,-228684.1311101537
0.01,0.26,0.33,0.4,-237001.35128744034,-228761.39357302745
0.01,0.26,0.34,0.39,-236992.7154285775,-228824.22256737106
0.01,0.26,0.35,0.38,-236971.16582392552,-228872.66192523987
0.01,0.26,0.36,0.37,-236936.76018562223,-228906.73505532715
0.01,0.26,0.37,0.36,-236889.53685109573,-228926.4452948437
0.01,0.26,0.38,0.35,-236829.51495702442,-228931.77608347786
0.01,0.26,0.39,0.34,-236756.69443933698,-228922.69096339532
0.01,0.26,0.4,0.33,-236671.0558592524,-228899.13340527957
0.01,0.27,0.31,0.41,-236805.1873047006,-228498.78650114976
0.01,0.27,0.32,0.4,-236814.0517021629,-228582.3108598609
0.01,0.27,0.33,0.39,-236809.72527901898,-228651.14360668865
0.01,0.27,0.34,0.38,-236792.29985050042,-228705.34190225872
0.01,0.27,0.35,0.37,-236761.84639202832,-228744.94137061367
0.01,0.27,0.36,0.36,-236718.41551486883,-228769.95657486864
0.01,0.27,0.37,0.35,-236662.03774712892,-228780.38129820698
0.01,0.27,0.38,0.34,-236592.72362669843,-228776.18863682207
0.01,0.27,0.39,0.33,-236510.46360830794,-228757.33090697572
0.01,0.27,0.4,0.32,-236415.22778253324,-228723.73936400225
0.01,0.28,0.3,0.41,-236599.13901485942,-228295.4534828305
0.01,0.28,0.31,0.4,-236612.7324206922,-228385.46404479258
0.01,0.28,0.32,0.39,-236612.92113494442,-228460.5104691993
0.01,0.28,0.33,0.38,-236599.812606332,-228520.66450222564
0.01,0.28,0.34,0.37,-236573.49218678052,-228565.97509648415
0.01,0.28,0.35,0.36,-236534.02375083943,-228596.46903043892
0.01,0.28,0.36,0.35,-236481.45010045375,-228612.15131317734
0.01,0.28,0.37,0.34,-236415.7931649418,-228613.00538438762
0.01,0.28,0.38,0.33,-236337.0540009955,-228598.99311435924
0.01,0.28,0.39,0.32,-236245.2125927021,-228570.0546040049
0.01,0.28,0.4,0.31,-236140.2274467729,-228526.1077800888
0.01,0.29,0.29,0.41,-236378.950194222,-228074.20487476536
0.01,0.29,0.3,0.4,-236397.50680713434,-228170.94165279422
0.01,0.29,0.31,0.39,-236402.42919788428,-228252.42596055887
0.01,0.29,0.32,0.38,-236393.8418733952,-228318.74555450524
0.01,0.29,0.33,0.37,-236371.84581907705,-228369.9639727942
0.01,0.29,0.34,0.36,-236336.51928598376,-228406.12132245916
0.01,0.29,0.35,0.35,-236287.91833934368,-228427.23482793593
0.01,0.29,0.36,0.34,-236226.07718231317,-228433.29915481625
0.01,0.29,0.37,0.33,-236151.00826301263,-228424.28651688423
0.01,0.29,0.38,0.32,-236062.70216749058,-228400.14656907987
0.01,0.29,0.39,0.31,-235961.12729596987,-228360.80608374582
0.01,0.29,0.4,0.3,-235846.22931431732,-228306.16840209678
0.01,0.3,0.28,0.41,-236144.6813967167,-227835.07494872384
0.01,0.3,0.29,0.4,-236168.45129898455,-227938.79528243726
0.01,0.3,0.3,0.39,-236178.34016748125,-228026.9573847285
0.01,0.3,0.31,0.38,-236174.4911887571,-228099.66664373138
0.01,0.3,0.32,0.37,-236157.02240642946,-228157.00260787635
0.01,0.3,0.33,0.36,-236126.02770503671,-228199.01996974388
0.01,0.3,0.34,0.35,-236081.5775263116,-228225.7492823379
0.01,0.3,0.35,0.34,-236023.71933669387,-228237.19742659808
0.01,0.3,0.36,0.33,-235952.47785814197,-228233.3478422113
0.01,0.3,0.37,0.32,-235867.8550681329,-228214.16052761176
0.01,0.3,0.38,0.31,-235769.82996885074,-228179.57180916905
0.01,0.3,0.39,0.3,-235658.3581196739,-228129.493873676
0.01,0.3,0.4,0.29,-235533.3709209018,-228063.81405207491
0.01,0.31,0.27,0.41,-235896.35490309517,-227578.05970359565
0.01,0.31,0.28,0.4,-235925.60591384294,-227689.04011266842
0.01,0.31,0.29,0.39,-235940.70994490234,-227784.13724744078
0.01,0.31,0.3,0.38,-235941.8307157321,-227863.47598101204
0.01,0.31,0.31,0.37,-235929.10494957658,-227927.1534934982
0.01,0.31,0.32,0.36,-235902.64358918156,-227975.24048774733
0.01,0.31,0.33,0.35,-235862.5327097642,-228007.78210230908
0.01,0.31,0.34,0.34,-235808.8341542687,-228024.79854668997
0.01,0.31,0.35,0.33,-235741.5859079368,-228026.28547592348
0.01,0.31,0.36,0.32,-235660.80222208356,-228012.21411434584
0.01,0.31,0.37,0.31,-235566.47349032157,-227982.5311318201
0.01,0.31,0.38,0.3,-235458.56587399048,-227937.15826916558
0.01,0.31,0.39,0.29,-235337.0206669013,-227875.9917029022
0.01,0.31,0.4,0.28,-235201.7533823665,-227798.90113228076
0.01,0.32,0.26,0.41,-235633.9544460788,-227303.11659061088
0.01,0.32,0.27,0.4,-235668.97424941408,-227421.6549028763
0.01,0.32,0.28,0.39,-235689.5598647006,-227523.96348812192
0.01,0.32,0.29,0.38,-235695.8976724403,-227610.18883254143
0.01,0.32,0.3,0.37,-235688.14492878594,-227680.44760121318
0.01,0.32,0.31,0.36,-235666.4312561102,-227734.8281286682
0.01,0.32,0.32,0.35,-235630.85978783778,-227773.39156372147
0.01,0.32,0.33,0.34,-235581.5080003972,-227796.17270142314
0.01,0.32,0.34,0.33,-235518.4282555347,-227803.180525372
0.01,0.32,0.35,0.32,-235441.64806784867,-227794.39847524939
0.01,0.32,0.36,0.31,-235351.1701047897,-227769.78444681937
0.01,0.32,0.37,0.3,-235246.97191912602,-227729.2705243936
0.01,0.32,0.38,0.29,-235129.0054066298,-227672.76243851773
0.01,0.32,0.39,0.28,-234997.19597412506,-227600.1387340195
0.01,0.32,0.4,0.27,-234851.44139465594,-227511.24962517695
0.01,0.33,0.25,0.41,-235357.42437586168,-227010.163678924
0.01,0.33,0.26,0.4,-235398.522976792,-227136.58148624934
0.01,0.33,0.27,0.39,-235424.87646295322,-227246.39924809555
0.01,0.33,0.28,0.38,-235436.6963318072,-227339.7875196598
0.01,0.33,0.29,0.37,-235434.16250054998,-227416.88457911063
0.01,0.33,0.3,0.36,-235417.4251244626,-227477.79824593768
0.01,0.33,0.31,0.35,-235386.6060165967,-227522.60730063554
0.01,0.33,0.32,0.34,-235341.79971158828,-227551.362548517
0.01,0.33,0.33,0.33,-235283.07420466788,-227564.08755872212
0.01,0.33,0.34,0.32,-235210.47138693847,-227560.77909949553
0.01,0.33,0.35,0.31,-235124.0071891339,-227541.4072819446
0.01,0.33,0.36,0.3,-235023.67143786044,-227505.91541628045
0.01,0.33,0.37,0.29,-234909.4274203188,-227454.21957653994
0.01,0.33,0.38,0.28,-234781.2111452942,-227386.20786157544
0.01,0.33,0.39,0.27,-234638.9302793424,-227301.73933124094
0.01,0.33,0.4,0.26,-234482.46272710417,-227200.6425867067
0.01,0.34,0.24,0.41,-235066.66823548294,-226699.07823107348
0.01,0.34,0.25,0.4,-235114.1808092663,-226833.72373866054
0.01,0.34,0.26,0.39,-235146.6107738498,-226951.37216724223
0.01,0.34,0.27,0.38,-235164.1975930057,-227052.22099035894
0.01,0.34,0.28,0.37,-235167.14630088996,-227136.4325551769
0.01,0.34,0.29,0.36,-235155.62971382693,-227204.13629427095
0.01,0.34,0.3,0.35,-235129.79017777657,-227255.43047308997
0.01,0.34,0.31,0.34,-235089.7409070018,-227290.3835286227
0.01,0.34,0.32,0.33,-235035.56695494082,-227309.03504026847
0.01,0.34,0.33,0.32,-234967.32584618067,-227311.39636181045
0.01,0.34,0.34,0.31,-234885.04788795995,-227297.4509329167
0.01,0.34,0.35,0.3,-234788.73617016803,-227267.1542791397
0.01,0.34,0.36,0.29,-234678.3662538438,-227220.43370041388
0.01,0.34,0.37,0.28,-234553.88553920106,-227157.1876390811
0.01,0.34,0.38,0.27,-234415.21229475658,-227077.28470901863
0.01,0.34,0.39,0.26,-234262.23431866287,-226980.56235697155
0.01,0.34,0.4,0.25,-234094.80719124078,-226866.82511508584
0.01,0.35,0.23,0.41,-234761.54669292737,-226369.69463517665
0.01,0.35,0.24,0.4,-234815.8369099518,-226512.94598638226
0.01,0.35,0.25,0.39,-234854.67713075553,-226638.77318513926
0.01,0.35,0.26,0.38,-234878.3381103009,-226747.40394819647
0.01,0.35,0.27,0.37,-234887.05284905425,-226839.02754105598
0.01,0.35,0.28,0.36,-234881.01928029992,-226913.79746528386
0.01,0.35,0.29,0.35,-234860.40241104114,-226971.83359940877
0.01,0.35,0.3,0.34,-234825.33598844908,-227013.22386536852
0.01,0.35,0.31,0.33,-234775.92374558895,-227038.02547423422
0.01,0.35,0.32,0.32,-234712.2402652554,-227046.2657900446
0.01,0.35,0.33,0.31,-234634.33148817116,-227037.94283800284
0.01,0.35,0.34,0.3,-234542.2148807303,-227013.02547221933
0.01,0.35,0.35,0.29,-234435.8792672549,-226971.45320796716
0.01,0.35,0.36,0.28,-234315.2843217967,-226913.1357134837
0.01,0.35,0.37,0.27,-234180.35970430123,-226837.95194613372
0.01,0.35,0.38,0.26,-234031.00381488205,-226745.74890668388
0.01,0.35,0.39,0.25,-233867.08212737172,-226636.33997285337
0.01,0.35,0.4,0.24,-233688.42504842055,-226509.5027584129
0.01,0.36,0.22,0.41,-234441.87475038445,-226021.8016142894
0.01,0.36,0.23,0.4,-234503.33868012982,-226174.07079451808
0.01,0.36,0.24,0.39,-234548.9514300818,-226308.45480501244
0.01,0.36,0.25,0.38,-234579.01895035463,-226425.21550967317
0.01,0.36,0.26,0.37,-234593.80553260463,-226524.57241720156
0.01,0.36,0.27,0.36,-234593.5370764266,-226606.70594749143
0.01,0.36,0.28,0.35,-234578.40370578365,-226671.76004805544
0.01,0.36,0.29,0.34,-234548.5618288904,-226719.84425390503
0.01,0.36,0.3,0.33,-234504.13571172024,-226751.03526105484
0.01,0.36,0.31,0.32,-234445.21861669476,-226765.37806521042
0.01,0.36,0.32,0.31,-234371.87354274426,-226762.88670182618
0.01,0.36,0.33,0.3,-234284.13358974713,-226743.5446105439
0.01,0.36,0.34,0.29,-234182.0019585299,-226707.3046351912
0.01,0.36,0.35,0.28,-234065.45158642775,-226654.08865934127
0.01,0.36,0.36,0.27,-233934.4244072241,-226583.78686625158
0.01,0.36,0.37,0.26,-233788.83021246106,-226496.25660017406
0.01,0.36,0.38,0.25,-233628.54507793247,-226391.3207928474
0.01,0.36,0.39,0.24,-233453.40930380026,-226268.76590361365
0.01,0.36,0.4,0.23,-233263.22479816488,-226128.33930298846
0.01,0.37,0.21,0.41,-234107.41811879422,-225655.13860105845
0.01,0.37,0.22,0.4,-234176.48884473185,-225816.87605258255
0.01,0.37,0.23,0.39,-234229.268795852,-225960.2287583889
0.01,0.37,0.24,0.38,-234266.10373232028,-226085.4973444061
0.01,0.37,0.25,0.37,-234287.29314094494,-226192.93546647587
0.01,0.37,0.26,0.36,-234293.09421251074,-226282.75378768143
0.01,0.37,0.27,0.35,-234283.72503729133,-226355.12317385423
0.01,0.37,0.28,0.34,-234259.3671404612,-226410.1772289819
0.01,0.37,0.29,0.33,-234220.16744903696,-226448.01426214568
0.01,0.37,0.3,0.32,-234166.23975834856,-226468.69875398846
0.01,0.37,0.31,0.31,-234097.66574695343,-226472.26237162616
0.01,0.37,0.32,0.3,-234014.4955729372,-226458.70456494694
0.01,0.37,0.33,0.29,-233916.74807061095,-226427.99276330546
0.01,0.37,0.34,0.28,-233804.41055381414,-226380.06217882558
0.01,0.37,0.35,0.27,-233677.43821961372,-226314.81521009738
0.01,0.37,0.36,0.26,-233535.75313338972,-226232.12042726236
0.01,0.37,0.37,0.25,-233379.2427623645,-226131.81110554174
0.01,0.37,0.38,0.24,-233207.75800866124,-226013.68325829462
0.01,0.37,0.39,0.23,-233021.11067389196,-225877.49310160583
0.01,0.37,0.4,0.22,-232819.0702636452,-225722.95385877325
0.01,0.38,0.2,0.41,-233757.88860480263,-225269.39112479004
0.01,0.38,0.21,0.4,-233835.04171984945,-225441.0912421128
0.01,0.38,0.22,0.39,-233895.42055814908,-225593.86298363577
0.01,0.38,0.23,0.38,-233939.41618537268,-225728.05123274022
