phase,matrix,variable,x_label,x_value,component,component_index,lambda,factor_value,plotted_value,y_label
FCC,A,Co,x_Co,0.01,r=1,1,0.9999999999996958,-0.12495033531687522,-0.1249503353168372,λ·A
FCC,A,Co,x_Co,0.02,r=1,1,0.9999999999996958,-0.302482529029737,-0.30248252902964495,λ·A
FCC,A,Co,x_Co,0.03,r=1,1,0.9999999999996958,-0.29023399864194416,-0.2902339986418559,λ·A
FCC,A,Co,x_Co,0.04,r=1,1,0.9999999999996958,-0.14453596885185033,-0.14453596885180636,λ·A
FCC,A,Co,x_Co,0.05,r=1,1,0.9999999999996958,-0.0025343398908756324,-0.0025343398908748613,λ·A
FCC,A,Co,x_Co,0.06,r=1,1,0.9999999999996958,-0.12197441114948092,-0.12197441114944381,λ·A
FCC,A,Co,x_Co,0.07,r=1,1,0.9999999999996958,-0.3264070755408659,-0.3264070755407666,λ·A
FCC,A,Co,x_Co,0.08,r=1,1,0.9999999999996958,-0.19269699337145502,-0.1926969933713964,λ·A
FCC,A,Co,x_Co,0.09,r=1,1,0.9999999999996958,0.11190544985509088,0.11190544985505683,λ·A
FCC,A,Co,x_Co,0.1,r=1,1,0.9999999999996958,0.1794385298373586,0.17943852983730402,λ·A
FCC,A,Co,x_Co,0.11,r=1,1,0.9999999999996958,0.03193973026153094,0.03193973026152123,λ·A
FCC,A,Co,x_Co,0.12,r=1,1,0.9999999999996958,-0.11329145911848713,-0.11329145911845268,λ·A
FCC,A,Co,x_Co,0.13,r=1,1,0.9999999999996958,-0.013448692717583106,-0.013448692717579015,λ·A
FCC,A,Co,x_Co,0.14,r=1,1,0.9999999999996958,0.2509213825786085,0.2509213825785322,λ·A
FCC,A,Co,x_Co,0.15,r=1,1,0.9999999999996958,0.29716484195935533,0.29716484195926496,λ·A
FCC,A,Co,x_Co,0.16,r=1,1,0.9999999999996958,0.08670129830549536,0.086701298305469,λ·A
FCC,A,Co,x_Co,0.17,r=1,1,0.9999999999996958,-0.0067103231717704,-0.006710323171768359,λ·A
FCC,A,Co,x_Co,0.18,r=1,1,0.9999999999996958,0.11103320758229228,0.1110332075822585,λ·A
FCC,A,Co,x_Co,0.19,r=1,1,0.9999999999996958,0.23212588946783952,0.2321258894677689,λ·A
FCC,A,Co,x_Co,0.2,r=1,1,0.9999999999996958,0.1877694926650751,0.18776949266501797,λ·A
FCC,A,Co,x_Co,0.21,r=1,1,0.9999999999996958,0.05856542758042691,0.05856542758040909,λ·A
FCC,A,Co,x_Co,0.22,r=1,1,0.9999999999996958,-0.04642740615288189,-0.04642740615286777,λ·A
FCC,A,Co,x_Co,0.23,r=1,1,0.9999999999996958,0.1420565026479741,0.14205650264793088,λ·A
FCC,A,Co,x_Co,0.24,r=1,1,0.9999999999996958,0.26341016503961834,0.26341016503953824,λ·A
FCC,A,Co,x_Co,0.25,r=1,1,0.9999999999996958,0.14791489795104462,0.14791489795099963,λ·A
FCC,A,Co,x_Co,0.26,r=1,1,0.9999999999996958,-0.067814911541878,-0.06781491154185737,λ·A
FCC,A,Co,x_Co,0.27,r=1,1,0.9999999999996958,-0.08086592661426709,-0.08086592661424248,λ·A
FCC,A,Co,x_Co,0.28,r=1,1,0.9999999999996958,0.08145924952336839,0.0814592495233436,λ·A
FCC,A,Co,x_Co,0.29,r=1,1,0.9999999999996958,0.1953534614928811,0.19535346149282168,λ·A
FCC,A,Co,x_Co,0.3,r=1,1,0.9999999999996958,0.13361972015784154,0.1336197201578009,λ·A
FCC,A,Co,x_Co,0.31,r=1,1,0.9999999999996958,-0.04339011337144814,-0.04339011337143494,λ·A
FCC,A,Co,x_Co,0.32,r=1,1,0.9999999999996958,-0.033966080605778076,-0.033966080605767744,λ·A
FCC,A,Co,x_Co,0.33,r=1,1,0.9999999999996958,0.11041585203712087,0.11041585203708729,λ·A
FCC,A,Co,x_Co,0.34,r=1,1,0.9999999999996958,0.09798694772010264,0.09798694772007283,λ·A
FCC,A,Co,x_Co,0.35,r=1,1,0.9999999999996958,-0.006871738373484718,-0.006871738373482627,λ·A
FCC,A,Co,x_Co,0.36,r=1,1,0.9999999999996958,-0.10885509852955796,-0.10885509852952485,λ·A
FCC,A,Co,x_Co,0.37,r=1,1,0.9999999999996958,-0.0009686847061787372,-0.0009686847061784425,λ·A
FCC,A,Co,x_Co,0.38,r=1,1,0.9999999999996958,0.17641015630398774,0.17641015630393408,λ·A
FCC,A,Co,x_Co,0.39,r=1,1,0.9999999999996958,0.21961533219135485,0.21961533219128804,λ·A
FCC,A,Co,x_Co,0.4,r=1,1,0.9999999999996958,0.057034465434089986,0.05703446543407264,λ·A
FCC,A,Co,x_Co,0.01,r=2,2,0.9999999999993582,-0.307118847062827,-0.3071188470626299,λ·A
FCC,A,Co,x_Co,0.02,r=2,2,0.9999999999993582,0.013410083972647188,0.01341008397263858,λ·A
FCC,A,Co,x_Co,0.03,r=2,2,0.9999999999993582,0.25042781185541313,0.2504278118552524,λ·A
FCC,A,Co,x_Co,0.04,r=2,2,0.9999999999993582,0.09396039354407336,0.09396039354401306,λ·A
FCC,A,Co,x_Co,0.05,r=2,2,0.9999999999993582,-0.004714498905976002,-0.004714498905972976,λ·A
FCC,A,Co,x_Co,0.06,r=2,2,0.9999999999993582,-0.21339387478717123,-0.21339387478703425,λ·A
FCC,A,Co,x_Co,0.07,r=2,2,0.9999999999993582,-0.046841440059697224,-0.04684144005966716,λ·A
FCC,A,Co,x_Co,0.08,r=2,2,0.9999999999993582,0.15309814386481316,0.1530981438647149,λ·A
FCC,A,Co,x_Co,0.09,r=2,2,0.9999999999993582,0.004198104615393287,0.004198104615390593,λ·A
FCC,A,Co,x_Co,0.1,r=2,2,0.9999999999993582,-0.10086786710721855,-0.10086786710715381,λ·A
FCC,A,Co,x_Co,0.11,r=2,2,0.9999999999993582,-0.41479676020755923,-0.414796760207293,λ·A
FCC,A,Co,x_Co,0.12,r=2,2,0.9999999999993582,-0.23622499416820714,-0.23622499416805554,λ·A
FCC,A,Co,x_Co,0.13,r=2,2,0.9999999999993582,0.02206551589351696,0.022065515893502797,λ·A
FCC,A,Co,x_Co,0.14,r=2,2,0.9999999999993582,-0.10068963105103028,-0.10068963105096565,λ·A
FCC,A,Co,x_Co,0.15,r=2,2,0.9999999999993582,-0.18645486832523545,-0.18645486832511576,λ·A
FCC,A,Co,x_Co,0.16,r=2,2,0.9999999999993582,-0.22555609968132015,-0.22555609968117538,λ·A
FCC,A,Co,x_Co,0.17,r=2,2,0.9999999999993582,-0.0831766978678845,-0.0831766978678311,λ·A
FCC,A,Co,x_Co,0.18,r=2,2,0.9999999999993582,0.060941868429649944,0.06094186842961083,λ·A
FCC,A,Co,x_Co,0.19,r=2,2,0.9999999999993582,-0.05299523432872049,-0.052995234328686476,λ·A
FCC,A,Co,x_Co,0.2,r=2,2,0.9999999999993582,-0.3586270849824576,-0.35862708498222745,λ·A
FCC,A,Co,x_Co,0.21,r=2,2,0.9999999999993582,-0.26362692556204503,-0.26362692556187584,λ·A
FCC,A,Co,x_Co,0.22,r=2,2,0.9999999999993582,-0.11016059045725647,-0.11016059045718576,λ·A
FCC,A,Co,x_Co,0.23,r=2,2,0.9999999999993582,0.07004483014088622,0.07004483014084127,λ·A
FCC,A,Co,x_Co,0.24,r=2,2,0.9999999999993582,-0.12082453008582004,-0.1208245300857425,λ·A
FCC,A,Co,x_Co,0.25,r=2,2,0.9999999999993582,-0.2022725563248244,-0.2022725563246946,λ·A
FCC,A,Co,x_Co,0.26,r=2,2,0.9999999999993582,-0.09815514758954628,-0.0981551475894833,λ·A
FCC,A,Co,x_Co,0.27,r=2,2,0.9999999999993582,-0.0037456790124209757,-0.003745679012418572,λ·A
FCC,A,Co,x_Co,0.28,r=2,2,0.9999999999993582,0.13823680430828064,0.1382368043081919,λ·A
FCC,A,Co,x_Co,0.29,r=2,2,0.9999999999993582,0.00294063893722931,0.0029406389372274226,λ·A
FCC,A,Co,x_Co,0.3,r=2,2,0.9999999999993582,-0.1958080017016625,-0.1958080017015368,λ·A
FCC,A,Co,x_Co,0.31,r=2,2,0.9999999999993582,-0.002487478065766903,-0.002487478065765307,λ·A
FCC,A,Co,x_Co,0.32,r=2,2,0.9999999999993582,0.09368654083847514,0.093686540838415,λ·A
FCC,A,Co,x_Co,0.33,r=2,2,0.9999999999993582,0.03653121990009748,0.03653121990007403,λ·A
FCC,A,Co,x_Co,0.34,r=2,2,0.9999999999993582,0.02211786897153305,0.022117868971518854,λ·A
FCC,A,Co,x_Co,0.35,r=2,2,0.9999999999993582,-0.16866236513169677,-0.16866236513158853,λ·A
FCC,A,Co,x_Co,0.36,r=2,2,0.9999999999993582,-0.008954211515891115,-0.008954211515885368,λ·A
FCC,A,Co,x_Co,0.37,r=2,2,0.9999999999993582,0.1177514364819937,0.11775143648191812,λ·A
FCC,A,Co,x_Co,0.38,r=2,2,0.9999999999993582,-0.0351936252682101,-0.03519362526818751,λ·A
FCC,A,Co,x_Co,0.39,r=2,2,0.9999999999993582,-0.012944944691677732,-0.012944944691669425,λ·A
FCC,A,Co,x_Co,0.4,r=2,2,0.9999999999993582,-0.15108135187072277,-0.1510813518706258,λ·A
